Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2018 12:00 AM;Jan 1, 2018 1:00 AM;-;14.16;21.80;26.33;6.74;27.20;26.33;-;-;26.33;36.99;-10.00;-5.27;45.73;4.90;4.29
Jan 1, 2018 1:00 AM;Jan 1, 2018 2:00 AM;-;4.74;26.43;26.43;4.74;27.30;26.43;-;-;26.43;31.08;-19.00;-29.99;44.16;3.00;0.22
Jan 1, 2018 2:00 AM;Jan 1, 2018 3:00 AM;-;3.66;26.10;26.10;3.66;30.10;26.10;-;-;26.10;29.17;-20.10;-56.65;42.24;1.00;0.21
Jan 1, 2018 3:00 AM;Jan 1, 2018 4:00 AM;-;1.26;24.70;24.70;1.26;20.87;24.70;-;-;24.70;21.96;-26.90;-63.14;39.29;1.00;0.07
Jan 1, 2018 4:00 AM;Jan 1, 2018 5:00 AM;-;-20.10;24.74;24.74;-20.10;25.56;24.74;-;-;24.74;14.96;-27.50;-64.62;36.00;-42.50;-17.44
Jan 1, 2018 5:00 AM;Jan 1, 2018 6:00 AM;-;-31.82;18.01;18.01;-31.82;25.58;24.76;-;-;18.01;-5.92;-34.00;-67.00;41.99;-67.00;-25.97
Jan 1, 2018 6:00 AM;Jan 1, 2018 7:00 AM;-;-28.66;10.18;10.18;-28.66;25.81;24.98;-;-;17.78;-6.10;-35.00;-72.54;42.25;-72.54;0.03
Jan 1, 2018 7:00 AM;Jan 1, 2018 8:00 AM;-;-13.71;17.80;17.80;-13.71;29.90;25.71;-;-;17.80;-10.02;-30.00;-76.01;44.97;-76.01;0.03
Jan 1, 2018 8:00 AM;Jan 1, 2018 9:00 AM;-;-19.33;19.76;19.76;-4.14;26.33;25.48;-;-;19.76;-5.71;-35.00;-71.45;45.00;-50.00;0.08
Jan 1, 2018 9:00 AM;Jan 1, 2018 10:00 AM;-;-15.78;20.73;20.73;2.03;26.38;25.54;-;-;20.73;-1.88;-21.00;-66.88;44.94;0.15;0.11
Jan 1, 2018 10:00 AM;Jan 1, 2018 11:00 AM;-;-12.05;24.76;24.76;-15.51;29.90;26.07;-;-;24.76;-10.48;-4.01;-62.00;45.04;0.15;0.21
Jan 1, 2018 11:00 AM;Jan 1, 2018 12:00 PM;-;-0.42;25.68;25.68;-0.42;34.90;26.12;-;-;25.68;-6.79;-2.00;-56.08;46.67;0.15;0.21
Jan 1, 2018 12:00 PM;Jan 1, 2018 1:00 PM;-;2.30;16.56;19.99;2.30;35.80;26.16;-;-;24.09;8.57;-4.01;-49.96;46.99;-19.01;0.21
Jan 1, 2018 1:00 PM;Jan 1, 2018 2:00 PM;-;2.30;13.21;25.01;2.30;40.40;26.19;-;-;25.01;8.53;-2.01;-24.29;44.16;-17.01;0.21
Jan 1, 2018 2:00 PM;Jan 1, 2018 3:00 PM;-;13.76;9.15;25.81;5.00;34.15;26.19;-;-;25.81;8.52;1.85;-5.59;45.26;-5.59;2.15
Jan 1, 2018 3:00 PM;Jan 1, 2018 4:00 PM;-;15.43;13.29;26.46;8.56;31.00;26.46;-;-;26.46;8.60;6.03;0.23;47.84;0.23;6.03
Jan 1, 2018 4:00 PM;Jan 1, 2018 5:00 PM;-;25.46;27.03;27.03;9.42;30.00;27.03;-;-;27.03;16.98;15.00;11.02;50.10;11.02;15.00
Jan 1, 2018 5:00 PM;Jan 1, 2018 6:00 PM;-;32.70;27.43;27.43;12.46;34.30;27.43;-;-;27.43;37.43;22.38;23.50;54.30;23.50;22.38
Jan 1, 2018 6:00 PM;Jan 1, 2018 7:00 PM;-;32.70;27.29;27.29;15.93;30.50;27.29;-;-;27.29;41.19;25.99;22.91;51.91;22.91;25.99
Jan 1, 2018 7:00 PM;Jan 1, 2018 8:00 PM;-;23.42;26.96;26.96;22.02;32.00;26.96;-;-;26.96;44.61;26.54;21.02;51.38;21.02;26.54
Jan 1, 2018 8:00 PM;Jan 1, 2018 9:00 PM;-;20.34;26.70;26.70;20.00;32.00;26.70;-;-;26.70;40.67;28.70;21.05;49.20;21.05;28.70
