created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2025-10-03 07:14:12+02:00,192,DE_LU,Planned maintenance,A03,Cancelled,2023-05-01 00:00:00+02:00,88oXfUD8cBFJUPV8doG-4Q,444.0,Fossil Gas,11WD8MITT5G----0,intra_zonal,HKW Mitte,HKW Mitte GUD,1,MAW,PT1M,2,2023-01-01 00:00:00+01:00
2025-10-05 14:26:26+02:00,195,DE_LU,Planned maintenance,A03,Cancelled,2023-04-01 00:00:00+02:00,W6aqqiOeYD_iFeeBqkbEpQ,333.0,Fossil Hard coal,11WD2NO2K000308Z,intra_zonal,Nord 2,Nord 2 T20,1,MAW,PT1M,2,2023-01-01 00:00:00+01:00
2025-10-05 14:26:27+02:00,195,DE_LU,Planned maintenance,A03,Cancelled,2023-04-01 00:00:00+02:00,xAN6LLACqNHGdsrxrggJQg,333.0,Fossil Hard coal,11WD2NO2K000308Z,intra_zonal,Nord 2,Nord 2 T20,1,MAW,PT1M,2,2023-01-01 00:00:00+01:00
2025-10-05 14:26:27+02:00,70,DE_LU,Planned maintenance,A03,Cancelled,2023-06-14 12:00:00+02:00,xAN6LLACqNHGdsrxrggJQg,333.0,Fossil Hard coal,11WD2NO2K000308Z,intra_zonal,Nord 2,Nord 2 T20,129541,MAW,PT1M,2,2023-04-01 00:00:00+02:00
2025-10-05 14:26:27+02:00,0,DE_LU,Planned maintenance,A03,Cancelled,2023-09-06 12:00:00+02:00,xAN6LLACqNHGdsrxrggJQg,333.0,Fossil Hard coal,11WD2NO2K000308Z,intra_zonal,Nord 2,Nord 2 T20,236821,MAW,PT1M,2,2023-06-14 12:00:00+02:00
2025-10-05 15:00:16+02:00,0,DE_LU,Planned maintenance,A03,Cancelled,2023-12-01 00:00:00+01:00,blicExJ5XMTaPaIB4_0LDg,791.0,Fossil Hard coal,11WD7IBBE2S--KW6,intra_zonal,Ibbenbüren,Ibbenbüren B,1,MAW,PT1M,2,2023-01-01 00:00:00+01:00
2025-10-05 15:24:40+02:00,0,DE_LU,Planned maintenance,A03,Cancelled,2024-01-01 00:00:00+01:00,wX40fO55G8933R9QGm7zUg,780.0,Fossil Hard coal,11WD7WEST1S-KW-K,intra_zonal,Westfalen,Westfalen E,1,MAW,PT1M,2,2023-01-01 00:00:00+01:00
2025-10-05 15:24:41+02:00,0,DE_LU,Planned maintenance,A03,Cancelled,2024-01-01 00:00:00+01:00,oL7QzEByAzsbBkoezsqkyw,791.0,Fossil Hard coal,11WD7IBBE2S--KW6,intra_zonal,Ibbenbüren,Ibbenbüren B,1,MAW,PT1M,2,2023-01-01 00:00:00+01:00
2025-10-05 15:37:30+02:00,0,DE_LU,Planned maintenance,A03,Cancelled,2023-12-31 23:45:00+01:00,EtBzR6G3AcqTJ3NYvf31fA,800.0,Fossil Hard coal,11WD8MOOR1C----G,intra_zonal,HKW Moorburg,HKW Moorburg Block B,1,MAW,PT1M,3,2023-01-01 00:00:00+01:00
2025-10-05 15:37:34+02:00,0,DE_LU,Planned maintenance,A03,Cancelled,2023-12-31 23:45:00+01:00,P_dRBOERKjrbB-UaNg_q_Q,800.0,Fossil Hard coal,11WD8MOOR1C----G,intra_zonal,HKW Moorburg,HKW Moorburg Block A,1,MAW,PT1M,3,2023-01-01 00:00:00+01:00
2025-10-05 16:01:14+02:00,0,DE_LU,Planned maintenance,A03,Cancelled,2024-01-01 00:00:00+01:00,VJjc_zVeUINj6Kp_tRL36g,875.0,Fossil Hard coal,11WD2HEKW000297X,intra_zonal,Heyden,Heyden 4,1,MAW,PT1M,4,2023-01-01 00:00:00+01:00
