,value
2023-01-01 01:00:00,31831.675000000003
2023-01-01 02:00:00,32005.595999999998
2023-01-01 03:00:00,29371.286999999997
2023-01-01 04:00:00,29461.953999999998
2023-01-01 05:00:00,28653.967999999997
2023-01-01 06:00:00,29164.188
2023-01-01 07:00:00,30548.600000000002
2023-01-01 08:00:00,27536.342
2023-01-01 09:00:00,28354.591
2023-01-01 10:00:00,28838.254
2023-01-01 11:00:00,25747.999
2023-01-01 12:00:00,23915.894
2023-01-01 13:00:00,21420.715
2023-01-01 14:00:00,21735.32
2023-01-01 15:00:00,20866.032
2023-01-01 16:00:00,18491.344
2023-01-01 17:00:00,15586.240000000002
2023-01-01 18:00:00,15621.52
2023-01-01 19:00:00,14296.44
2023-01-01 20:00:00,15403.503999999997
2023-01-01 21:00:00,16613.440000000002
2023-01-01 22:00:00,16377.484000000002
2023-01-01 23:00:00,16348.432
2023-01-02 00:00:00,16264.2
2023-01-02 01:00:00,16929.628
2023-01-02 02:00:00,19935.728000000003
2023-01-02 03:00:00,20316.012
2023-01-02 04:00:00,21616.068
2023-01-02 05:00:00,19935.132
2023-01-02 06:00:00,20257.232
2023-01-02 07:00:00,20716.496
2023-01-02 08:00:00,20522.74
2023-01-02 09:00:00,23244.816
2023-01-02 10:00:00,26091.596
2023-01-02 11:00:00,26834.412000000004
2023-01-02 12:00:00,23513.476000000002
2023-01-02 13:00:00,23484.935999999998
2023-01-02 14:00:00,22858.064
2023-01-02 15:00:00,20032.156
2023-01-02 16:00:00,19014.028
2023-01-02 17:00:00,18307.92
2023-01-02 18:00:00,18150.124
2023-01-02 19:00:00,20300.974000000002
2023-01-02 20:00:00,19246.666
2023-01-02 21:00:00,19157.796
2023-01-02 22:00:00,20220.891
2023-01-02 23:00:00,22574.983
2023-01-03 00:00:00,20821.761
2023-01-03 01:00:00,22809.56
2023-01-03 02:00:00,19154.561
2023-01-03 03:00:00,17157.548000000003
2023-01-03 04:00:00,13899.376
2023-01-03 05:00:00,12024.880000000001
2023-01-03 06:00:00,11703.448
2023-01-03 07:00:00,10272.492
2023-01-03 08:00:00,8592.86
2023-01-03 09:00:00,9035.896
2023-01-03 10:00:00,11450.844
2023-01-03 11:00:00,12616.264000000001
2023-01-03 12:00:00,11919.344000000001
2023-01-03 13:00:00,10648.824
2023-01-03 14:00:00,10773.68
2023-01-03 15:00:00,9172.296
2023-01-03 16:00:00,9376.86
2023-01-03 17:00:00,10851.0
2023-01-03 18:00:00,10149.8
2023-01-03 19:00:00,12375.1
2023-01-03 20:00:00,18496.528
2023-01-03 21:00:00,21341.604
2023-01-03 22:00:00,24932.832
2023-01-03 23:00:00,27715.690000000002
2023-01-04 00:00:00,25429.456000000002
2023-01-04 01:00:00,27364.234
2023-01-04 02:00:00,28172.216
2023-01-04 03:00:00,26721.940000000002
2023-01-04 04:00:00,26213.956
2023-01-04 05:00:00,26844.804000000004
2023-01-04 06:00:00,29281.028000000002
2023-01-04 07:00:00,29331.951999999997
2023-01-04 08:00:00,30103.744
2023-01-04 09:00:00,28520.89
2023-01-04 10:00:00,27792.757999999994
2023-01-04 11:00:00,27950.662
2023-01-04 12:00:00,27483.444
2023-01-04 13:00:00,25953.940000000002
2023-01-04 14:00:00,25840.870000000003
2023-01-04 15:00:00,26161.215999999997
2023-01-04 16:00:00,25636.600000000002
2023-01-04 17:00:00,28265.964
2023-01-04 18:00:00,25427.928
2023-01-04 19:00:00,27059.766
2023-01-04 20:00:00,28429.396
2023-01-04 21:00:00,30719.487999999998
2023-01-04 22:00:00,31440.654
2023-01-04 23:00:00,34369.64200000001
2023-01-05 00:00:00,32043.626000000004
2023-01-05 01:00:00,34376.446
2023-01-05 02:00:00,34799.64600000001
2023-01-05 03:00:00,32928.162
2023-01-05 04:00:00,33973.694
2023-01-05 05:00:00,35148.560000000005
2023-01-05 06:00:00,32352.555
2023-01-05 07:00:00,29097.3
2023-01-05 08:00:00,28715.487
2023-01-05 09:00:00,28990.559999999998
2023-01-05 10:00:00,24933.535
2023-01-05 11:00:00,22772.718
2023-01-05 12:00:00,20800.216
2023-01-05 13:00:00,18311.816
2023-01-05 14:00:00,14931.2
2023-01-05 15:00:00,9972.116
2023-01-05 16:00:00,5047.056
2023-01-05 17:00:00,4509.52
2023-01-05 18:00:00,2677.1600000000003
2023-01-05 19:00:00,4718.52
2023-01-05 20:00:00,6624.512
2023-01-05 21:00:00,7079.812
2023-01-05 22:00:00,8128.464
2023-01-05 23:00:00,8302.552000000001
2023-01-06 00:00:00,10771.708
2023-01-06 01:00:00,12951.088
2023-01-06 02:00:00,16698.007999999998
2023-01-06 03:00:00,16664.392
2023-01-06 04:00:00,18490.512000000002
2023-01-06 05:00:00,21528.696
2023-01-06 06:00:00,21291.78
2023-01-06 07:00:00,22067.542
2023-01-06 08:00:00,21560.428
2023-01-06 09:00:00,22730.194
2023-01-06 10:00:00,24390.541000000005
2023-01-06 11:00:00,25392.709
2023-01-06 12:00:00,25498.429
2023-01-06 13:00:00,26039.664
