,value
2023-01-01 01:00:00,2877.2599999999998
2023-01-01 02:00:00,3889.6
2023-01-01 03:00:00,4640.66
2023-01-01 04:00:00,5237.200000000001
2023-01-01 05:00:00,4546.02
2023-01-01 06:00:00,5031.9
2023-01-01 07:00:00,4519.76
2023-01-01 08:00:00,5085.22
2023-01-01 09:00:00,4327.44
2023-01-01 10:00:00,4375.9
2023-01-01 11:00:00,3014.3
2023-01-01 12:00:00,3453.18
2023-01-01 13:00:00,3497.3630000000003
2023-01-01 14:00:00,4353.559
2023-01-01 15:00:00,5105.351000000001
2023-01-01 16:00:00,7566.825000000001
2023-01-01 17:00:00,11142.322
2023-01-01 18:00:00,12439.897
2023-01-01 19:00:00,10837.629
2023-01-01 20:00:00,10533.062
2023-01-01 21:00:00,8951.84
2023-01-01 22:00:00,10060.974
2023-01-01 23:00:00,8917.699
2023-01-02 00:00:00,11020.243
2023-01-02 01:00:00,11304.170999999998
2023-01-02 02:00:00,11531.939
2023-01-02 03:00:00,11142.285
2023-01-02 04:00:00,9802.069
2023-01-02 05:00:00,10586.665
2023-01-02 06:00:00,9213.832999999999
2023-01-02 07:00:00,8083.942
2023-01-02 08:00:00,8750.259
2023-01-02 09:00:00,5554.2789999999995
2023-01-02 10:00:00,3438.644
2023-01-02 11:00:00,2533.089
2023-01-02 12:00:00,3539.334
2023-01-02 13:00:00,5445.362999999999
2023-01-02 14:00:00,5749.722
2023-01-02 15:00:00,7260.789
2023-01-02 16:00:00,7461.228
2023-01-02 17:00:00,5290.705
2023-01-02 18:00:00,2848.055
2023-01-02 19:00:00,4485.48
2023-01-02 20:00:00,5228.8
2023-01-02 21:00:00,3883.9399999999996
2023-01-02 22:00:00,4542.905000000001
2023-01-02 23:00:00,4803.16
2023-01-03 00:00:00,5578.16
2023-01-03 01:00:00,5881.08
2023-01-03 02:00:00,6597.37
2023-01-03 03:00:00,7560.002
2023-01-03 04:00:00,8268.313
2023-01-03 05:00:00,8443.32
2023-01-03 06:00:00,9978.658
2023-01-03 07:00:00,10319.063000000002
2023-01-03 08:00:00,11571.510999999999
2023-01-03 09:00:00,7773.006000000001
2023-01-03 10:00:00,7756.676
2023-01-03 11:00:00,6893.226000000001
