,value
2023-01-01 01:00:00,5.75
2023-01-01 02:00:00,5.27
2023-01-01 03:00:00,5.74
2023-01-01 04:00:00,5.22
2023-01-01 05:00:00,6.14
2023-01-01 06:00:00,5.31
2023-01-01 07:00:00,5.99
2023-01-01 08:00:00,6.63
2023-01-01 09:00:00,6.64
2023-01-01 10:00:00,5.17
2023-01-01 11:00:00,8.53
2023-01-01 12:00:00,10.72
2023-01-01 13:00:00,14.06
2023-01-01 14:00:00,56.41
2023-01-01 15:00:00,91.66
2023-01-01 16:00:00,97.81
2023-01-01 17:00:00,102.08
2023-01-01 18:00:00,106.34
2023-01-01 19:00:00,108.73
2023-01-01 20:00:00,106.65
2023-01-01 21:00:00,107.42
2023-01-01 22:00:00,103.81
2023-01-01 23:00:00,90.35
2023-01-02 00:00:00,96.87
2023-01-02 01:00:00,96.07
2023-01-02 02:00:00,94.8
2023-01-02 03:00:00,94.86
2023-01-02 04:00:00,96.87
2023-01-02 05:00:00,96.99
2023-01-02 06:00:00,140.48
2023-01-02 07:00:00,140.64
2023-01-02 08:00:00,145.98
2023-01-02 09:00:00,147.05
2023-01-02 10:00:00,145.61
2023-01-02 11:00:00,143.35
2023-01-02 12:00:00,144.38
2023-01-02 13:00:00,143.76
2023-01-02 14:00:00,146.09
2023-01-02 15:00:00,145.86
2023-01-02 16:00:00,146.63
2023-01-02 17:00:00,145.28
2023-01-02 18:00:00,145.43
2023-01-02 19:00:00,145.54
2023-01-02 20:00:00,147.23
2023-01-02 21:00:00,141.67
2023-01-02 22:00:00,137.54
2023-01-02 23:00:00,124.22
2023-01-03 00:00:00,130.01
2023-01-03 01:00:00,120.0
2023-01-03 02:00:00,118.76
2023-01-03 03:00:00,115.0
2023-01-03 04:00:00,113.63
2023-01-03 05:00:00,116.27
2023-01-03 06:00:00,138.92
2023-01-03 07:00:00,140.83
2023-01-03 08:00:00,142.2
2023-01-03 09:00:00,141.56
2023-01-03 10:00:00,143.34
2023-01-03 11:00:00,141.65
2023-01-03 12:00:00,143.34
2023-01-03 13:00:00,141.59
2023-01-03 14:00:00,141.58
2023-01-03 15:00:00,170.74
2023-01-03 16:00:00,167.72
2023-01-03 17:00:00,167.97
2023-01-03 18:00:00,159.96
2023-01-03 19:00:00,160.99
2023-01-03 20:00:00,149.62
2023-01-03 21:00:00,143.07
2023-01-03 22:00:00,132.52
2023-01-03 23:00:00,128.25
2023-01-04 00:00:00,130.34
2023-01-04 01:00:00,121.78
2023-01-04 02:00:00,128.19
2023-01-04 03:00:00,121.78
2023-01-04 04:00:00,122.94
2023-01-04 05:00:00,128.2
2023-01-04 06:00:00,138.87
2023-01-04 07:00:00,143.03
2023-01-04 08:00:00,142.51
2023-01-04 09:00:00,141.59
2023-01-04 10:00:00,139.31
2023-01-04 11:00:00,138.88
2023-01-04 12:00:00,135.8
2023-01-04 13:00:00,136.74
2023-01-04 14:00:00,130.08
2023-01-04 15:00:00,130.05
2023-01-04 16:00:00,141.03
2023-01-04 17:00:00,141.47
2023-01-04 18:00:00,141.04
2023-01-04 19:00:00,141.47
2023-01-04 20:00:00,127.1
2023-01-04 21:00:00,127.96
2023-01-04 22:00:00,117.27
2023-01-04 23:00:00,88.88
2023-01-05 00:00:00,86.16
2023-01-05 01:00:00,76.62
2023-01-05 02:00:00,63.17
2023-01-05 03:00:00,70.48
2023-01-05 04:00:00,59.72
2023-01-05 05:00:00,75.23
2023-01-05 06:00:00,97.28
2023-01-05 07:00:00,111.11
2023-01-05 08:00:00,117.82
2023-01-05 09:00:00,117.99
2023-01-05 10:00:00,107.37
2023-01-05 11:00:00,114.56
2023-01-05 12:00:00,108.79
2023-01-05 13:00:00,128.5
2023-01-05 14:00:00,126.3
2023-01-05 15:00:00,132.78
2023-01-05 16:00:00,133.95
2023-01-05 17:00:00,137.25
2023-01-05 18:00:00,135.91
2023-01-05 19:00:00,137.05
2023-01-05 20:00:00,128.49
2023-01-05 21:00:00,132.76
2023-01-05 22:00:00,131.69
2023-01-05 23:00:00,127.0
2023-01-06 00:00:00,100.92
2023-01-06 01:00:00,101.1
2023-01-06 02:00:00,96.73
2023-01-06 03:00:00,93.85
2023-01-06 04:00:00,85.82
2023-01-06 05:00:00,98.11
2023-01-06 06:00:00,96.29
2023-01-06 07:00:00,103.31
2023-01-06 08:00:00,99.94
2023-01-06 09:00:00,108.76
2023-01-06 10:00:00,101.65
2023-01-06 11:00:00,106.2
2023-01-06 12:00:00,100.57
2023-01-06 13:00:00,106.79
2023-01-06 14:00:00,101.92
2023-01-06 15:00:00,103.21
2023-01-06 16:00:00,103.27
2023-01-06 17:00:00,109.44
2023-01-06 18:00:00,101.77
2023-01-06 19:00:00,104.27
2023-01-06 20:00:00,100.67
2023-01-06 21:00:00,103.33
2023-01-06 22:00:00,95.98
2023-01-06 23:00:00,97.74
2023-01-07 00:00:00,103.27
2023-01-07 01:00:00,104.71
2023-01-07 02:00:00,99.45
2023-01-07 03:00:00,103.78
2023-01-07 04:00:00,102.58
2023-01-07 05:00:00,105.14
2023-01-07 06:00:00,104.71
2023-01-07 07:00:00,117.26
2023-01-07 08:00:00,128.43
2023-01-07 09:00:00,137.07
2023-01-07 10:00:00,126.68
2023-01-07 11:00:00,137.83
2023-01-07 12:00:00,121.52
2023-01-07 13:00:00,134.12
2023-01-07 14:00:00,130.39
2023-01-07 15:00:00,139.85
2023-01-07 16:00:00,161.63
2023-01-07 17:00:00,166.25
2023-01-07 18:00:00,157.58
2023-01-07 19:00:00,155.96
2023-01-07 20:00:00,131.19
2023-01-07 21:00:00,109.71
2023-01-07 22:00:00,100.74
2023-01-07 23:00:00,95.59
2023-01-08 00:00:00,85.62
2023-01-08 01:00:00,76.05
2023-01-08 02:00:00,69.19
2023-01-08 03:00:00,67.02
2023-01-08 04:00:00,68.38
2023-01-08 05:00:00,69.52
2023-01-08 06:00:00,74.91
2023-01-08 07:00:00,82.59
2023-01-08 08:00:00,84.34
2023-01-08 09:00:00,95.76
2023-01-08 10:00:00,98.53
2023-01-08 11:00:00,102.04
2023-01-08 12:00:00,99.86
2023-01-08 13:00:00,98.29
2023-01-08 14:00:00,98.85
2023-01-08 15:00:00,100.57
2023-01-08 16:00:00,106.85
2023-01-08 17:00:00,108.47
2023-01-08 18:00:00,107.17
2023-01-08 19:00:00,106.11
2023-01-08 20:00:00,106.64
2023-01-08 21:00:00,105.27
2023-01-08 22:00:00,100.15
2023-01-08 23:00:00,91.42
2023-01-09 00:00:00,95.39
2023-01-09 01:00:00,93.81
2023-01-09 02:00:00,90.82
2023-01-09 03:00:00,93.83
2023-01-09 04:00:00,91.97
2023-01-09 05:00:00,95.77
2023-01-09 06:00:00,149.57
2023-01-09 07:00:00,168.4
2023-01-09 08:00:00,180.0
2023-01-09 09:00:00,180.12
2023-01-09 10:00:00,176.46
2023-01-09 11:00:00,178.87
2023-01-09 12:00:00,182.71
2023-01-09 13:00:00,189.11
2023-01-09 14:00:00,183.3
2023-01-09 15:00:00,177.51
2023-01-09 16:00:00,189.11
2023-01-09 17:00:00,185.49
2023-01-09 18:00:00,182.18
2023-01-09 19:00:00,187.17
2023-01-09 20:00:00,172.79
2023-01-09 21:00:00,143.18
2023-01-09 22:00:00,133.54
2023-01-09 23:00:00,116.06
2023-01-10 00:00:00,133.76
2023-01-10 01:00:00,129.97
2023-01-10 02:00:00,128.58
2023-01-10 03:00:00,134.2
2023-01-10 04:00:00,128.07
2023-01-10 05:00:00,135.17
2023-01-10 06:00:00,152.39
2023-01-10 07:00:00,195.11
2023-01-10 08:00:00,195.05
2023-01-10 09:00:00,196.15
2023-01-10 10:00:00,194.83
2023-01-10 11:00:00,195.45
2023-01-10 12:00:00,195.11
2023-01-10 13:00:00,195.81
2023-01-10 14:00:00,196.02
2023-01-10 15:00:00,196.78
2023-01-10 16:00:00,199.06
2023-01-10 17:00:00,199.94
2023-01-10 18:00:00,198.41
2023-01-10 19:00:00,199.47
2023-01-10 20:00:00,195.04
2023-01-10 21:00:00,166.65
2023-01-10 22:00:00,159.56
2023-01-10 23:00:00,126.84
2023-01-11 00:00:00,121.42
2023-01-11 01:00:00,115.03
2023-01-11 02:00:00,96.09
2023-01-11 03:00:00,92.42
2023-01-11 04:00:00,92.38
2023-01-11 05:00:00,107.36
2023-01-11 06:00:00,128.05
2023-01-11 07:00:00,138.27
2023-01-11 08:00:00,149.9
2023-01-11 09:00:00,145.89
2023-01-11 10:00:00,148.86
2023-01-11 11:00:00,142.71
2023-01-11 12:00:00,147.62
2023-01-11 13:00:00,147.61
2023-01-11 14:00:00,148.92
2023-01-11 15:00:00,153.38
2023-01-11 16:00:00,158.86
2023-01-11 17:00:00,159.85
2023-01-11 18:00:00,156.72
2023-01-11 19:00:00,160.65
2023-01-11 20:00:00,157.62
2023-01-11 21:00:00,140.56
2023-01-11 22:00:00,138.14
2023-01-11 23:00:00,127.77
2023-01-12 00:00:00,102.08
2023-01-12 01:00:00,99.79
2023-01-12 02:00:00,99.44
2023-01-12 03:00:00,98.11
2023-01-12 04:00:00,97.83
2023-01-12 05:00:00,103.09
2023-01-12 06:00:00,125.05
2023-01-12 07:00:00,138.68
2023-01-12 08:00:00,140.56
2023-01-12 09:00:00,135.83
2023-01-12 10:00:00,113.08
2023-01-12 11:00:00,113.08
2023-01-12 12:00:00,113.08
2023-01-12 13:00:00,125.54
2023-01-12 14:00:00,131.11
2023-01-12 15:00:00,130.22
2023-01-12 16:00:00,140.82
2023-01-12 17:00:00,138.69
2023-01-12 18:00:00,128.02
2023-01-12 19:00:00,141.81
2023-01-12 20:00:00,137.18
2023-01-12 21:00:00,116.06
2023-01-12 22:00:00,107.38
2023-01-12 23:00:00,97.84
2023-01-13 00:00:00,95.48
2023-01-13 01:00:00,91.87
2023-01-13 02:00:00,77.8
2023-01-13 03:00:00,84.17
2023-01-13 04:00:00,75.75
2023-01-13 05:00:00,95.49
2023-01-13 06:00:00,102.28
2023-01-13 07:00:00,128.55
2023-01-13 08:00:00,136.38
2023-01-13 09:00:00,138.51
2023-01-13 10:00:00,138.51
2023-01-13 11:00:00,138.52
2023-01-13 12:00:00,148.42
2023-01-13 13:00:00,149.17
2023-01-13 14:00:00,147.2
2023-01-13 15:00:00,144.9
2023-01-13 16:00:00,142.23
2023-01-13 17:00:00,151.44
2023-01-13 18:00:00,149.19
2023-01-13 19:00:00,149.18
2023-01-13 20:00:00,137.24
2023-01-13 21:00:00,101.41
2023-01-13 22:00:00,102.05
2023-01-13 23:00:00,96.25
2023-01-14 00:00:00,86.04
2023-01-14 01:00:00,80.99
2023-01-14 02:00:00,70.32
2023-01-14 03:00:00,72.47
2023-01-14 04:00:00,72.19
2023-01-14 05:00:00,80.44
2023-01-14 06:00:00,94.17
2023-01-14 07:00:00,96.86
2023-01-14 08:00:00,97.51
2023-01-14 09:00:00,97.51
2023-01-14 10:00:00,97.51
2023-01-14 11:00:00,102.11
2023-01-14 12:00:00,97.51
2023-01-14 13:00:00,102.31
2023-01-14 14:00:00,102.11
2023-01-14 15:00:00,102.1
2023-01-14 16:00:00,102.1
2023-01-14 17:00:00,112.86
2023-01-14 18:00:00,102.11
2023-01-14 19:00:00,97.51
2023-01-14 20:00:00,97.51
2023-01-14 21:00:00,96.91
2023-01-14 22:00:00,85.06
2023-01-14 23:00:00,70.35
2023-01-15 00:00:00,27.4
2023-01-15 01:00:00,27.23
2023-01-15 02:00:00,24.52
2023-01-15 03:00:00,24.54
2023-01-15 04:00:00,24.55
2023-01-15 05:00:00,28.55
2023-01-15 06:00:00,28.79
2023-01-15 07:00:00,41.75
2023-01-15 08:00:00,58.67
2023-01-15 09:00:00,87.24
2023-01-15 10:00:00,87.26
2023-01-15 11:00:00,93.63
2023-01-15 12:00:00,93.63
2023-01-15 13:00:00,95.19
2023-01-15 14:00:00,95.26
2023-01-15 15:00:00,95.21
2023-01-15 16:00:00,89.61
2023-01-15 17:00:00,95.28
2023-01-15 18:00:00,95.22
2023-01-15 19:00:00,95.28
2023-01-15 20:00:00,95.12
2023-01-15 21:00:00,91.49
2023-01-15 22:00:00,82.42
2023-01-15 23:00:00,67.25
2023-01-16 00:00:00,72.55
2023-01-16 01:00:00,72.61
2023-01-16 02:00:00,70.21
2023-01-16 03:00:00,74.14
2023-01-16 04:00:00,75.39
2023-01-16 05:00:00,87.0
2023-01-16 06:00:00,126.42
2023-01-16 07:00:00,167.47
2023-01-16 08:00:00,165.09
2023-01-16 09:00:00,170.0
2023-01-16 10:00:00,157.88
2023-01-16 11:00:00,155.01
2023-01-16 12:00:00,152.62
2023-01-16 13:00:00,155.73
2023-01-16 14:00:00,159.91
2023-01-16 15:00:00,173.87
2023-01-16 16:00:00,159.91
2023-01-16 17:00:00,166.79
2023-01-16 18:00:00,156.28
2023-01-16 19:00:00,145.69
2023-01-16 20:00:00,127.86
2023-01-16 21:00:00,121.59
2023-01-16 22:00:00,117.05
2023-01-16 23:00:00,99.65
2023-01-17 00:00:00,95.85
2023-01-17 01:00:00,93.57
2023-01-17 02:00:00,90.95
2023-01-17 03:00:00,90.79
2023-01-17 04:00:00,92.35
2023-01-17 05:00:00,97.79
2023-01-17 06:00:00,120.6
2023-01-17 07:00:00,148.7
2023-01-17 08:00:00,150.37
2023-01-17 09:00:00,148.94
2023-01-17 10:00:00,129.67
2023-01-17 11:00:00,128.24
2023-01-17 12:00:00,124.73
2023-01-17 13:00:00,132.08
2023-01-17 14:00:00,148.94
2023-01-17 15:00:00,165.95
2023-01-17 16:00:00,180.8
2023-01-17 17:00:00,186.39
2023-01-17 18:00:00,180.64
2023-01-17 19:00:00,178.11
2023-01-17 20:00:00,156.56
2023-01-17 21:00:00,147.9
2023-01-17 22:00:00,142.25
2023-01-17 23:00:00,129.34
2023-01-18 00:00:00,128.26
2023-01-18 01:00:00,126.69
2023-01-18 02:00:00,119.84
2023-01-18 03:00:00,122.98
2023-01-18 04:00:00,123.2
2023-01-18 05:00:00,127.69
2023-01-18 06:00:00,150.93
2023-01-18 07:00:00,170.46
2023-01-18 08:00:00,189.74
2023-01-18 09:00:00,185.15
2023-01-18 10:00:00,166.35
2023-01-18 11:00:00,158.61
2023-01-18 12:00:00,146.61
2023-01-18 13:00:00,158.12
2023-01-18 14:00:00,150.1
2023-01-18 15:00:00,157.51
2023-01-18 16:00:00,162.71
2023-01-18 17:00:00,165.04
2023-01-18 18:00:00,161.23
2023-01-18 19:00:00,159.22
2023-01-18 20:00:00,139.67
2023-01-18 21:00:00,136.21
2023-01-18 22:00:00,143.23
2023-01-18 23:00:00,134.29
2023-01-19 00:00:00,137.93
2023-01-19 01:00:00,135.6
2023-01-19 02:00:00,139.54
2023-01-19 03:00:00,138.75
2023-01-19 04:00:00,131.79
2023-01-19 05:00:00,138.06
2023-01-19 06:00:00,165.78
2023-01-19 07:00:00,181.36
2023-01-19 08:00:00,193.08
2023-01-19 09:00:00,193.14
2023-01-19 10:00:00,189.26
2023-01-19 11:00:00,192.91
2023-01-19 12:00:00,186.48
2023-01-19 13:00:00,193.25
2023-01-19 14:00:00,193.73
2023-01-19 15:00:00,185.37
2023-01-19 16:00:00,186.89
2023-01-19 17:00:00,193.52
2023-01-19 18:00:00,191.75
2023-01-19 19:00:00,191.81
2023-01-19 20:00:00,176.24
2023-01-19 21:00:00,159.06
2023-01-19 22:00:00,151.15
2023-01-19 23:00:00,134.86
2023-01-20 00:00:00,136.93
2023-01-20 01:00:00,138.22
2023-01-20 02:00:00,144.33
2023-01-20 03:00:00,144.43
2023-01-20 04:00:00,142.95
2023-01-20 05:00:00,145.79
2023-01-20 06:00:00,177.01
2023-01-20 07:00:00,201.92
2023-01-20 08:00:00,211.44
2023-01-20 09:00:00,210.82
2023-01-20 10:00:00,205.47
2023-01-20 11:00:00,202.85
2023-01-20 12:00:00,191.42
2023-01-20 13:00:00,183.49
2023-01-20 14:00:00,184.65
2023-01-20 15:00:00,192.0
2023-01-20 16:00:00,200.0
2023-01-20 17:00:00,208.22
2023-01-20 18:00:00,202.35
2023-01-20 19:00:00,199.42
2023-01-20 20:00:00,171.48
2023-01-20 21:00:00,157.11
2023-01-20 22:00:00,151.0
2023-01-20 23:00:00,138.08
2023-01-21 00:00:00,123.4
2023-01-21 01:00:00,109.99
2023-01-21 02:00:00,104.99
2023-01-21 03:00:00,97.57
2023-01-21 04:00:00,103.04
2023-01-21 05:00:00,98.75
2023-01-21 06:00:00,102.71
2023-01-21 07:00:00,107.65
2023-01-21 08:00:00,115.58
2023-01-21 09:00:00,110.09
2023-01-21 10:00:00,111.07
2023-01-21 11:00:00,112.19
2023-01-21 12:00:00,112.2
2023-01-21 13:00:00,112.0
2023-01-21 14:00:00,115.58
2023-01-21 15:00:00,116.64
2023-01-21 16:00:00,125.14
2023-01-21 17:00:00,124.02
2023-01-21 18:00:00,121.89
2023-01-21 19:00:00,114.29
2023-01-21 20:00:00,114.53
2023-01-21 21:00:00,113.99
2023-01-21 22:00:00,124.71
2023-01-21 23:00:00,108.91
2023-01-22 00:00:00,115.54
2023-01-22 01:00:00,109.65
2023-01-22 02:00:00,107.56
2023-01-22 03:00:00,106.3
2023-01-22 04:00:00,107.63
2023-01-22 05:00:00,110.9
2023-01-22 06:00:00,111.82
2023-01-22 07:00:00,114.77
2023-01-22 08:00:00,127.77
2023-01-22 09:00:00,138.68
2023-01-22 10:00:00,145.78
2023-01-22 11:00:00,155.42
2023-01-22 12:00:00,157.11
2023-01-22 13:00:00,142.98
2023-01-22 14:00:00,151.67
2023-01-22 15:00:00,154.22
2023-01-22 16:00:00,165.64
2023-01-22 17:00:00,178.78
2023-01-22 18:00:00,168.35
2023-01-22 19:00:00,161.54
2023-01-22 20:00:00,165.87
2023-01-22 21:00:00,135.9
2023-01-22 22:00:00,157.35
2023-01-22 23:00:00,135.65
2023-01-23 00:00:00,150.87
2023-01-23 01:00:00,147.04
2023-01-23 02:00:00,152.14
2023-01-23 03:00:00,150.59
2023-01-23 04:00:00,152.44
2023-01-23 05:00:00,148.63
2023-01-23 06:00:00,190.4
2023-01-23 07:00:00,191.1
2023-01-23 08:00:00,209.74
2023-01-23 09:00:00,209.97
2023-01-23 10:00:00,209.26
2023-01-23 11:00:00,203.31
2023-01-23 12:00:00,202.71
2023-01-23 13:00:00,202.17
2023-01-23 14:00:00,201.72
2023-01-23 15:00:00,198.48
2023-01-23 16:00:00,203.28
2023-01-23 17:00:00,202.61
2023-01-23 18:00:00,202.6
2023-01-23 19:00:00,193.9
2023-01-23 20:00:00,194.0
2023-01-23 21:00:00,175.16
2023-01-23 22:00:00,168.79
2023-01-23 23:00:00,147.51
2023-01-24 00:00:00,164.85
2023-01-24 01:00:00,160.26
2023-01-24 02:00:00,157.41
2023-01-24 03:00:00,156.58
2023-01-24 04:00:00,159.4
2023-01-24 05:00:00,165.92
2023-01-24 06:00:00,183.61
2023-01-24 07:00:00,201.22
2023-01-24 08:00:00,205.69
2023-01-24 09:00:00,205.56
2023-01-24 10:00:00,202.45
2023-01-24 11:00:00,202.81
2023-01-24 12:00:00,202.47
2023-01-24 13:00:00,202.77
2023-01-24 14:00:00,202.33
2023-01-24 15:00:00,202.46
2023-01-24 16:00:00,203.34
2023-01-24 17:00:00,202.54
2023-01-24 18:00:00,202.33
2023-01-24 19:00:00,202.27
2023-01-24 20:00:00,190.9
2023-01-24 21:00:00,175.86
2023-01-24 22:00:00,170.64
2023-01-24 23:00:00,163.27
2023-01-25 00:00:00,152.86
2023-01-25 01:00:00,152.29
2023-01-25 02:00:00,156.24
2023-01-25 03:00:00,157.7
2023-01-25 04:00:00,160.62
2023-01-25 05:00:00,150.53
2023-01-25 06:00:00,171.24
2023-01-25 07:00:00,185.2
2023-01-25 08:00:00,199.42
2023-01-25 09:00:00,195.78
2023-01-25 10:00:00,192.05
2023-01-25 11:00:00,189.82
2023-01-25 12:00:00,193.2
2023-01-25 13:00:00,185.2
2023-01-25 14:00:00,191.8
2023-01-25 15:00:00,193.01
2023-01-25 16:00:00,197.96
2023-01-25 17:00:00,196.72
2023-01-25 18:00:00,195.82
2023-01-25 19:00:00,189.07
2023-01-25 20:00:00,176.26
2023-01-25 21:00:00,167.48
2023-01-25 22:00:00,164.85
2023-01-25 23:00:00,154.65
2023-01-26 00:00:00,150.0
2023-01-26 01:00:00,141.17
2023-01-26 02:00:00,144.44
2023-01-26 03:00:00,138.56
2023-01-26 04:00:00,149.92
2023-01-26 05:00:00,142.32
2023-01-26 06:00:00,165.55
2023-01-26 07:00:00,186.88
2023-01-26 08:00:00,198.85
2023-01-26 09:00:00,197.55
2023-01-26 10:00:00,194.97
2023-01-26 11:00:00,195.48
2023-01-26 12:00:00,180.53
2023-01-26 13:00:00,182.74
2023-01-26 14:00:00,179.74
2023-01-26 15:00:00,180.12
2023-01-26 16:00:00,197.5
2023-01-26 17:00:00,186.2
2023-01-26 18:00:00,194.33
2023-01-26 19:00:00,187.27
2023-01-26 20:00:00,173.48
2023-01-26 21:00:00,154.74
2023-01-26 22:00:00,156.27
2023-01-26 23:00:00,137.57
2023-01-27 00:00:00,150.03
2023-01-27 01:00:00,151.41
2023-01-27 02:00:00,147.2
2023-01-27 03:00:00,145.8
2023-01-27 04:00:00,145.8
2023-01-27 05:00:00,136.39
2023-01-27 06:00:00,154.5
2023-01-27 07:00:00,175.43
2023-01-27 08:00:00,180.95
2023-01-27 09:00:00,181.77
2023-01-27 10:00:00,181.77
2023-01-27 11:00:00,180.94
2023-01-27 12:00:00,183.06
2023-01-27 13:00:00,180.0
2023-01-27 14:00:00,181.5
2023-01-27 15:00:00,185.0
2023-01-27 16:00:00,185.47
2023-01-27 17:00:00,190.25
2023-01-27 18:00:00,190.25
2023-01-27 19:00:00,183.9
2023-01-27 20:00:00,175.44
2023-01-27 21:00:00,165.09
2023-01-27 22:00:00,158.2
2023-01-27 23:00:00,139.85
2023-01-28 00:00:00,139.9
2023-01-28 01:00:00,136.15
2023-01-28 02:00:00,134.52
2023-01-28 03:00:00,134.4
2023-01-28 04:00:00,127.43
2023-01-28 05:00:00,123.21
2023-01-28 06:00:00,131.48
2023-01-28 07:00:00,137.31
2023-01-28 08:00:00,145.43
2023-01-28 09:00:00,160.41
2023-01-28 10:00:00,161.84
2023-01-28 11:00:00,157.67
2023-01-28 12:00:00,161.63
2023-01-28 13:00:00,170.56
2023-01-28 14:00:00,142.22
2023-01-28 15:00:00,147.12
2023-01-28 16:00:00,154.27
2023-01-28 17:00:00,164.93
2023-01-28 18:00:00,174.99
2023-01-28 19:00:00,164.72
2023-01-28 20:00:00,150.57
2023-01-28 21:00:00,146.24
2023-01-28 22:00:00,139.44
2023-01-28 23:00:00,118.91
2023-01-29 00:00:00,111.32
2023-01-29 01:00:00,113.02
2023-01-29 02:00:00,116.88
2023-01-29 03:00:00,111.34
2023-01-29 04:00:00,114.77
2023-01-29 05:00:00,114.52
2023-01-29 06:00:00,116.89
2023-01-29 07:00:00,113.02
2023-01-29 08:00:00,118.04
2023-01-29 09:00:00,120.7
2023-01-29 10:00:00,123.24
2023-01-29 11:00:00,123.29
2023-01-29 12:00:00,114.85
2023-01-29 13:00:00,110.64
2023-01-29 14:00:00,111.32
2023-01-29 15:00:00,110.49
2023-01-29 16:00:00,110.47
2023-01-29 17:00:00,111.32
2023-01-29 18:00:00,110.15
2023-01-29 19:00:00,107.06
2023-01-29 20:00:00,108.46
2023-01-29 21:00:00,107.4
2023-01-29 22:00:00,100.06
2023-01-29 23:00:00,85.29
2023-01-30 00:00:00,63.54
2023-01-30 01:00:00,53.08
2023-01-30 02:00:00,48.27
2023-01-30 03:00:00,44.48
2023-01-30 04:00:00,55.04
2023-01-30 05:00:00,76.53
2023-01-30 06:00:00,106.29
2023-01-30 07:00:00,107.25
2023-01-30 08:00:00,109.09
2023-01-30 09:00:00,117.08
2023-01-30 10:00:00,119.29
2023-01-30 11:00:00,119.35
2023-01-30 12:00:00,119.95
2023-01-30 13:00:00,117.0
2023-01-30 14:00:00,111.39
2023-01-30 15:00:00,112.33
2023-01-30 16:00:00,108.57
2023-01-30 17:00:00,111.02
2023-01-30 18:00:00,115.96
2023-01-30 19:00:00,109.05
2023-01-30 20:00:00,110.44
2023-01-30 21:00:00,108.85
2023-01-30 22:00:00,108.06
2023-01-30 23:00:00,91.18
2023-01-31 00:00:00,89.78
2023-01-31 01:00:00,95.51
2023-01-31 02:00:00,94.46
2023-01-31 03:00:00,94.47
2023-01-31 04:00:00,96.55
2023-01-31 05:00:00,104.17
2023-01-31 06:00:00,107.19
2023-01-31 07:00:00,110.31
2023-01-31 08:00:00,115.57
2023-01-31 09:00:00,121.4
2023-01-31 10:00:00,116.74
2023-01-31 11:00:00,116.92
2023-01-31 12:00:00,116.87
2023-01-31 13:00:00,117.41
2023-01-31 14:00:00,124.22
2023-01-31 15:00:00,126.3
2023-01-31 16:00:00,127.35
2023-01-31 17:00:00,127.33
2023-01-31 18:00:00,117.84
2023-01-31 19:00:00,112.44
2023-01-31 20:00:00,108.98
2023-01-31 21:00:00,100.6
2023-01-31 22:00:00,103.65
2023-01-31 23:00:00,87.09
2023-02-01 00:00:00,85.0
2023-02-01 01:00:00,69.12
2023-02-01 02:00:00,69.09
2023-02-01 03:00:00,71.03
2023-02-01 04:00:00,80.52
2023-02-01 05:00:00,93.46
2023-02-01 06:00:00,110.57
2023-02-01 07:00:00,110.46
2023-02-01 08:00:00,110.52
2023-02-01 09:00:00,111.07
2023-02-01 10:00:00,110.95
2023-02-01 11:00:00,111.74
2023-02-01 12:00:00,111.75
2023-02-01 13:00:00,110.91
2023-02-01 14:00:00,110.96
2023-02-01 15:00:00,111.0
2023-02-01 16:00:00,111.65
2023-02-01 17:00:00,111.96
2023-02-01 18:00:00,111.9
2023-02-01 19:00:00,111.75
2023-02-01 20:00:00,111.97
2023-02-01 21:00:00,110.46
2023-02-01 22:00:00,110.51
2023-02-01 23:00:00,104.96
2023-02-02 00:00:00,92.36
2023-02-02 01:00:00,92.25
2023-02-02 02:00:00,90.71
2023-02-02 03:00:00,92.22
