,MW
2023-01-01 01:00:00,45.1725
2023-01-01 02:00:00,61.59
2023-01-01 03:00:00,68.705
2023-01-01 04:00:00,87.445
2023-01-01 05:00:00,76.19
2023-01-01 06:00:00,76.7875
2023-01-01 07:00:00,79.5775
2023-01-01 08:00:00,189.0425
2023-01-01 09:00:00,95.7875
2023-01-01 10:00:00,60.8575
2023-01-01 11:00:00,80.04249999999999
2023-01-01 12:00:00,94.4625
2023-01-01 13:00:00,193.0025
2023-01-01 14:00:00,293.145
2023-01-01 15:00:00,441.2625
2023-01-01 16:00:00,535.09
2023-01-01 17:00:00,516.9365
2023-01-01 18:00:00,559.0219999999999
2023-01-01 19:00:00,480.82349999999997
2023-01-01 20:00:00,492.81
2023-01-01 21:00:00,541.2475
2023-01-01 22:00:00,472.7575
2023-01-01 23:00:00,426.0875
2023-01-02 00:00:00,548.7125
2023-01-02 01:00:00,664.935
2023-01-02 02:00:00,607.9475
2023-01-02 03:00:00,581.715
2023-01-02 04:00:00,586.2475
2023-01-02 05:00:00,516.5725
2023-01-02 06:00:00,619.5675
2023-01-02 07:00:00,589.62
2023-01-02 08:00:00,477.1625
2023-01-02 09:00:00,209.5125
2023-01-02 10:00:00,45.84
2023-01-02 11:00:00,31.447499999999998
2023-01-02 12:00:00,34.26
2023-01-02 13:00:00,51.699999999999996
2023-01-02 14:00:00,79.3825
2023-01-02 15:00:00,217.4275
2023-01-02 16:00:00,163.5975
2023-01-02 17:00:00,285.1665
2023-01-02 18:00:00,193.15
2023-01-02 19:00:00,242.60750000000002
2023-01-02 20:00:00,427.03
2023-01-02 21:00:00,325.055
2023-01-02 22:00:00,115.4
2023-01-02 23:00:00,314.8775
2023-01-03 00:00:00,369.7025
2023-01-03 01:00:00,422.075
2023-01-03 02:00:00,363.5875
2023-01-03 03:00:00,295.3275
2023-01-03 04:00:00,152.5575
2023-01-03 05:00:00,160.4975
2023-01-03 06:00:00,142.46
2023-01-03 07:00:00,203.9135
2023-01-03 08:00:00,315.705
2023-01-03 09:00:00,74.66749999999999
2023-01-03 10:00:00,73.35
2023-01-03 11:00:00,43.93
2023-01-03 12:00:00,35.292500000000004
2023-01-03 13:00:00,82.6575
2023-01-03 14:00:00,112.5625
2023-01-03 15:00:00,161.624
2023-01-03 16:00:00,271.1305
2023-01-03 17:00:00,168.5915
2023-01-03 18:00:00,88.217
2023-01-03 19:00:00,66.175
2023-01-03 20:00:00,36.3575
2023-01-03 21:00:00,162.82999999999998
2023-01-03 22:00:00,86.15
2023-01-03 23:00:00,104.2125
2023-01-04 00:00:00,45.480000000000004
2023-01-04 01:00:00,158.99
2023-01-04 02:00:00,225.49
2023-01-04 03:00:00,313.59250000000003
2023-01-04 04:00:00,362.0675
2023-01-04 05:00:00,136.0475
2023-01-04 06:00:00,41.9025
2023-01-04 07:00:00,41.125
2023-01-04 08:00:00,35.0375
2023-01-04 09:00:00,35.5725
2023-01-04 10:00:00,38.47
2023-01-04 11:00:00,36.3375
2023-01-04 12:00:00,29.8675
2023-01-04 13:00:00,57.0525
2023-01-04 14:00:00,63.8025
2023-01-04 15:00:00,65.7525
2023-01-04 16:00:00,68.405
2023-01-04 17:00:00,49.3225
2023-01-04 18:00:00,76.18
2023-01-04 19:00:00,80.465
2023-01-04 20:00:00,149.905
2023-01-04 21:00:00,108.6625
2023-01-04 22:00:00,93.395
2023-01-04 23:00:00,61.585
2023-01-05 00:00:00,111.4
2023-01-05 01:00:00,70.84
2023-01-05 02:00:00,75.905
2023-01-05 03:00:00,97.4675
2023-01-05 04:00:00,74.36500000000001
2023-01-05 05:00:00,40.167500000000004
2023-01-05 06:00:00,67.0775
2023-01-05 07:00:00,253.135
2023-01-05 08:00:00,119.36
2023-01-05 09:00:00,46.9925
2023-01-05 10:00:00,53.754999999999995
2023-01-05 11:00:00,43.715
2023-01-05 12:00:00,31.0275
2023-01-05 13:00:00,31.14
2023-01-05 14:00:00,51.9775
2023-01-05 15:00:00,68.6225
2023-01-05 16:00:00,213.3105
2023-01-05 17:00:00,584.2375
2023-01-05 18:00:00,526.4445
2023-01-05 19:00:00,406.87
2023-01-05 20:00:00,431.555
2023-01-05 21:00:00,242.57
2023-01-05 22:00:00,248.4325
2023-01-05 23:00:00,283.33000000000004
2023-01-06 00:00:00,222.635
2023-01-06 01:00:00,202.0625
2023-01-06 02:00:00,175.9275
2023-01-06 03:00:00,216.8075
2023-01-06 04:00:00,340.9975
2023-01-06 05:00:00,420.665
2023-01-06 06:00:00,94.225
2023-01-06 07:00:00,31.555
2023-01-06 08:00:00,38.54
2023-01-06 09:00:00,34.04
2023-01-06 10:00:00,35.49
2023-01-06 11:00:00,43.682500000000005
2023-01-06 12:00:00,53.85
2023-01-06 13:00:00,42.4
2023-01-06 14:00:00,34.3225
2023-01-06 15:00:00,32.2025
2023-01-06 16:00:00,32.620000000000005
2023-01-06 17:00:00,33.2025
2023-01-06 18:00:00,31.64
2023-01-06 19:00:00,29.37
2023-01-06 20:00:00,96.405
2023-01-06 21:00:00,75.985
2023-01-06 22:00:00,37.6175
2023-01-06 23:00:00,95.435
2023-01-07 00:00:00,82.8075
2023-01-07 01:00:00,135.635
2023-01-07 02:00:00,253.525
2023-01-07 03:00:00,326.055
2023-01-07 04:00:00,335.075
2023-01-07 05:00:00,371.7375
2023-01-07 06:00:00,231.575
2023-01-07 07:00:00,182.2175
2023-01-07 08:00:00,210.0275
2023-01-07 09:00:00,127.0175
2023-01-07 10:00:00,90.5
2023-01-07 11:00:00,150.4625
2023-01-07 12:00:00,180.70499999999998
2023-01-07 13:00:00,261.755
2023-01-07 14:00:00,356.265
2023-01-07 15:00:00,596.275
2023-01-07 16:00:00,391.7225
2023-01-07 17:00:00,143.2075
2023-01-07 18:00:00,94.005
2023-01-07 19:00:00,32.4
2023-01-07 20:00:00,42.442499999999995
2023-01-07 21:00:00,101.9625
2023-01-07 22:00:00,103.215
2023-01-07 23:00:00,110.7575
2023-01-08 00:00:00,274.35249999999996
2023-01-08 01:00:00,424.6175
2023-01-08 02:00:00,449.04999999999995
2023-01-08 03:00:00,476.9425
2023-01-08 04:00:00,461.15250000000003
2023-01-08 05:00:00,461.665
2023-01-08 06:00:00,439.01
2023-01-08 07:00:00,266.22
2023-01-08 08:00:00,416.72749999999996
2023-01-08 09:00:00,272.1075
2023-01-08 10:00:00,104.33500000000001
2023-01-08 11:00:00,32.8575
2023-01-08 12:00:00,52.74
2023-01-08 13:00:00,164.7825
2023-01-08 14:00:00,283.9625
2023-01-08 15:00:00,287.9325
2023-01-08 16:00:00,332.2125
2023-01-08 17:00:00,264.7025
2023-01-08 18:00:00,125.605
2023-01-08 19:00:00,70.2
2023-01-08 20:00:00,46.0225
2023-01-08 21:00:00,96.3575
2023-01-08 22:00:00,181.725
2023-01-08 23:00:00,317.2025
2023-01-09 00:00:00,448.9225
2023-01-09 01:00:00,422.07
2023-01-09 02:00:00,364.89
2023-01-09 03:00:00,372.95
2023-01-09 04:00:00,308.36
2023-01-09 05:00:00,298.6575
2023-01-09 06:00:00,155.39249999999998
2023-01-09 07:00:00,60.545
2023-01-09 08:00:00,45.78
2023-01-09 09:00:00,31.5475
2023-01-09 10:00:00,43.385
2023-01-09 11:00:00,70.69749999999999
2023-01-09 12:00:00,207.805
2023-01-09 13:00:00,175.5825
2023-01-09 14:00:00,37.49
2023-01-09 15:00:00,202.72050000000002
2023-01-09 16:00:00,255.36350000000002
2023-01-09 17:00:00,364.4805
2023-01-09 18:00:00,224.6585
2023-01-09 19:00:00,96.805
2023-01-09 20:00:00,52.39
2023-01-09 21:00:00,76.565
2023-01-09 22:00:00,172.9375
2023-01-09 23:00:00,411.26
2023-01-10 00:00:00,610.495
2023-01-10 01:00:00,1032.1625
2023-01-10 02:00:00,1081.11
2023-01-10 03:00:00,1011.795
2023-01-10 04:00:00,877.865
2023-01-10 05:00:00,409.8175
2023-01-10 06:00:00,179.48000000000002
2023-01-10 07:00:00,132.86950000000002
2023-01-10 08:00:00,329.2355
2023-01-10 09:00:00,211.019
2023-01-10 10:00:00,159.755
2023-01-10 11:00:00,90.525
2023-01-10 12:00:00,195.07
2023-01-10 13:00:00,232.315
2023-01-10 14:00:00,137.905
2023-01-10 15:00:00,129.8325
2023-01-10 16:00:00,146.9675
2023-01-10 17:00:00,140.495
2023-01-10 18:00:00,124.5625
2023-01-10 19:00:00,106.7325
2023-01-10 20:00:00,165.025
2023-01-10 21:00:00,125.95500000000001
2023-01-10 22:00:00,273.5
2023-01-10 23:00:00,286.295
2023-01-11 00:00:00,236.9925
2023-01-11 01:00:00,235.79000000000002
2023-01-11 02:00:00,141.84
2023-01-11 03:00:00,189.415
2023-01-11 04:00:00,183.9925
2023-01-11 05:00:00,129.05
2023-01-11 06:00:00,79.045
2023-01-11 07:00:00,43.0525
2023-01-11 08:00:00,59.777499999999996
2023-01-11 09:00:00,70.75999999999999
2023-01-11 10:00:00,225.56
2023-01-11 11:00:00,48.4425
2023-01-11 12:00:00,102.22
2023-01-11 13:00:00,229.74
2023-01-11 14:00:00,212.8675
2023-01-11 15:00:00,120.75
2023-01-11 16:00:00,88.9775
2023-01-11 17:00:00,85.065
2023-01-11 18:00:00,167.4575
2023-01-11 19:00:00,107.6825
2023-01-11 20:00:00,35.6175
2023-01-11 21:00:00,36.052499999999995
2023-01-11 22:00:00,40.5475
2023-01-11 23:00:00,53.445
2023-01-12 00:00:00,44.5925
2023-01-12 01:00:00,60.947500000000005
2023-01-12 02:00:00,53.31
2023-01-12 03:00:00,45.28
2023-01-12 04:00:00,46.845
2023-01-12 05:00:00,34.5525
2023-01-12 06:00:00,32.765
2023-01-12 07:00:00,41.927499999999995
2023-01-12 08:00:00,31.7025
2023-01-12 09:00:00,43.345
2023-01-12 10:00:00,41.17
2023-01-12 11:00:00,93.3125
2023-01-12 12:00:00,49.6425
2023-01-12 13:00:00,74.6775
2023-01-12 14:00:00,51.285
2023-01-12 15:00:00,41.435
2023-01-12 16:00:00,64.8475
2023-01-12 17:00:00,34.5
2023-01-12 18:00:00,107.815
2023-01-12 19:00:00,46.4975
2023-01-12 20:00:00,57.427499999999995
2023-01-12 21:00:00,66.8475
2023-01-12 22:00:00,74.445
2023-01-12 23:00:00,64.8125
2023-01-13 00:00:00,61.722500000000004
2023-01-13 01:00:00,66.63
2023-01-13 02:00:00,136.85500000000002
2023-01-13 03:00:00,225.2075
2023-01-13 04:00:00,289.235
2023-01-13 05:00:00,224.53
2023-01-13 06:00:00,260.6
2023-01-13 07:00:00,207.01
2023-01-13 08:00:00,130.14249999999998
2023-01-13 09:00:00,45.3575
2023-01-13 10:00:00,30.240000000000002
2023-01-13 11:00:00,33.644999999999996
2023-01-13 12:00:00,51.945
2023-01-13 13:00:00,106.2325
2023-01-13 14:00:00,37.895
2023-01-13 15:00:00,71.47749999999999
2023-01-13 16:00:00,60.515
2023-01-13 17:00:00,83.645
2023-01-13 18:00:00,45.8725
2023-01-13 19:00:00,50.2325
2023-01-13 20:00:00,38.7075
2023-01-13 21:00:00,29.884999999999998
2023-01-13 22:00:00,29.8225
2023-01-13 23:00:00,58.1175
2023-01-14 00:00:00,44.019999999999996
2023-01-14 01:00:00,38.215
2023-01-14 02:00:00,40.9825
2023-01-14 03:00:00,111.77
2023-01-14 04:00:00,168.28
2023-01-14 05:00:00,226.805
2023-01-14 06:00:00,281.45
2023-01-14 07:00:00,195.39249999999998
2023-01-14 08:00:00,221.2775
2023-01-14 09:00:00,173.91
2023-01-14 10:00:00,187.4975
2023-01-14 11:00:00,108.2075
2023-01-14 12:00:00,121.515
2023-01-14 13:00:00,230.67499999999998
2023-01-14 14:00:00,66.675
2023-01-14 15:00:00,73.02250000000001
2023-01-14 16:00:00,76.35499999999999
2023-01-14 17:00:00,93.3075
2023-01-14 18:00:00,107.86
2023-01-14 19:00:00,145.595
2023-01-14 20:00:00,86.06
2023-01-14 21:00:00,61.4875
2023-01-14 22:00:00,42.6425
2023-01-14 23:00:00,52.065
2023-01-15 00:00:00,27.925
2023-01-15 01:00:00,28.07
2023-01-15 02:00:00,28.6
2023-01-15 03:00:00,118.26
2023-01-15 04:00:00,127.83500000000001
2023-01-15 05:00:00,65.7
2023-01-15 06:00:00,78.7975
2023-01-15 07:00:00,194.89499999999998
2023-01-15 08:00:00,255.3225
2023-01-15 09:00:00,230.4975
2023-01-15 10:00:00,350.7525
2023-01-15 11:00:00,178.62
2023-01-15 12:00:00,135.5325
2023-01-15 13:00:00,265.2475
2023-01-15 14:00:00,168.7325
2023-01-15 15:00:00,174.205
2023-01-15 16:00:00,152.89
2023-01-15 17:00:00,86.92750000000001
2023-01-15 18:00:00,50.2625
2023-01-15 19:00:00,101.9675
2023-01-15 20:00:00,94.50750000000001
2023-01-15 21:00:00,92.64
2023-01-15 22:00:00,59.072500000000005
2023-01-15 23:00:00,64.1375
2023-01-16 00:00:00,93.0025
2023-01-16 01:00:00,105.2375
2023-01-16 02:00:00,129.7425
2023-01-16 03:00:00,182.03
2023-01-16 04:00:00,153.45499999999998
2023-01-16 05:00:00,135.36
2023-01-16 06:00:00,168.69
2023-01-16 07:00:00,196.5325
2023-01-16 08:00:00,31.1075
2023-01-16 09:00:00,35.455
2023-01-16 10:00:00,96.8725
2023-01-16 11:00:00,70.0475
2023-01-16 12:00:00,110.3875
2023-01-16 13:00:00,79.61500000000001
2023-01-16 14:00:00,32.5775
2023-01-16 15:00:00,36.57
2023-01-16 16:00:00,31.8825
2023-01-16 17:00:00,93.405
2023-01-16 18:00:00,221.1225
2023-01-16 19:00:00,200.6825
2023-01-16 20:00:00,295.5225
2023-01-16 21:00:00,277.125
2023-01-16 22:00:00,332.035
2023-01-16 23:00:00,453.095
