,MW
2023-01-01 01:00:00,802.24
2023-01-01 02:00:00,898.32
2023-01-01 03:00:00,870.56
2023-01-01 04:00:00,962.48
2023-01-01 05:00:00,920.32
2023-01-01 06:00:00,902.08
2023-01-01 07:00:00,906.32
2023-01-01 08:00:00,1043.2
2023-01-01 09:00:00,820.48
2023-01-01 10:00:00,698.0
2023-01-01 11:00:00,730.08
2023-01-01 12:00:00,969.28
2023-01-01 13:00:00,793.44
2023-01-01 14:00:00,581.76
2023-01-01 15:00:00,265.6
2023-01-01 16:00:00,123.52
2023-01-01 17:00:00,180.56
2023-01-01 18:00:00,159.28
2023-01-01 19:00:00,203.84
2023-01-01 20:00:00,108.72
2023-01-01 21:00:00,25.28
2023-01-01 22:00:00,172.24
2023-01-01 23:00:00,379.76
2023-01-02 00:00:00,758.72
2023-01-02 01:00:00,1058.08
2023-01-02 02:00:00,1246.32
2023-01-02 03:00:00,1208.24
2023-01-02 04:00:00,727.6
2023-01-02 05:00:00,790.24
2023-01-02 06:00:00,393.92
2023-01-02 07:00:00,444.96
2023-01-02 08:00:00,524.64
2023-01-02 09:00:00,399.28
2023-01-02 10:00:00,388.8
2023-01-02 11:00:00,322.32
2023-01-02 12:00:00,338.08
2023-01-02 13:00:00,278.16
2023-01-02 14:00:00,312.24
2023-01-02 15:00:00,276.16
2023-01-02 16:00:00,551.92
2023-01-02 17:00:00,576.64
2023-01-02 18:00:00,727.76
2023-01-02 19:00:00,701.12
2023-01-02 20:00:00,968.64
2023-01-02 21:00:00,1030.32
2023-01-02 22:00:00,948.08
2023-01-02 23:00:00,1274.16
2023-01-03 00:00:00,1560.32
2023-01-03 01:00:00,1598.88
2023-01-03 02:00:00,1470.56
2023-01-03 03:00:00,1364.72
2023-01-03 04:00:00,1285.6
2023-01-03 05:00:00,1159.2
2023-01-03 06:00:00,617.12
2023-01-03 07:00:00,714.8
2023-01-03 08:00:00,741.52
2023-01-03 09:00:00,800.72
2023-01-03 10:00:00,881.84
2023-01-03 11:00:00,845.76
2023-01-03 12:00:00,576.64
2023-01-03 13:00:00,375.44
2023-01-03 14:00:00,314.64
2023-01-03 15:00:00,323.2
2023-01-03 16:00:00,344.0
2023-01-03 17:00:00,447.04
2023-01-03 18:00:00,541.76
2023-01-03 19:00:00,483.36
2023-01-03 20:00:00,398.72
2023-01-03 21:00:00,487.52
2023-01-03 22:00:00,663.04
2023-01-03 23:00:00,660.64
2023-01-04 00:00:00,572.64
2023-01-04 01:00:00,339.76
2023-01-04 02:00:00,189.84
2023-01-04 03:00:00,176.48
2023-01-04 04:00:00,193.52
2023-01-04 05:00:00,245.44
2023-01-04 06:00:00,180.32
2023-01-04 07:00:00,162.4
2023-01-04 08:00:00,142.72
2023-01-04 09:00:00,176.96
2023-01-04 10:00:00,367.36
2023-01-04 11:00:00,438.48
2023-01-04 12:00:00,522.48
2023-01-04 13:00:00,438.88
2023-01-04 14:00:00,498.56
2023-01-04 15:00:00,537.92
2023-01-04 16:00:00,563.28
2023-01-04 17:00:00,521.12
2023-01-04 18:00:00,612.24
2023-01-04 19:00:00,707.84
2023-01-04 20:00:00,814.88
2023-01-04 21:00:00,898.56
2023-01-04 22:00:00,927.84
2023-01-04 23:00:00,798.4
2023-01-05 00:00:00,1073.6
2023-01-05 01:00:00,867.68
2023-01-05 02:00:00,909.68
2023-01-05 03:00:00,964.32
2023-01-05 04:00:00,851.84
2023-01-05 05:00:00,775.52
2023-01-05 06:00:00,785.52
2023-01-05 07:00:00,862.56
2023-01-05 08:00:00,959.76
2023-01-05 09:00:00,932.4
2023-01-05 10:00:00,950.56
2023-01-05 11:00:00,938.88
2023-01-05 12:00:00,790.08
2023-01-05 13:00:00,728.56
2023-01-05 14:00:00,729.44
2023-01-05 15:00:00,762.16
2023-01-05 16:00:00,718.88
2023-01-05 17:00:00,767.76
2023-01-05 18:00:00,864.4
2023-01-05 19:00:00,889.12
2023-01-05 20:00:00,1045.74
2023-01-05 21:00:00,794.97
2023-01-05 22:00:00,835.04
2023-01-05 23:00:00,926.42
2023-01-06 00:00:00,1031.79
2023-01-06 01:00:00,890.88
2023-01-06 02:00:00,622.48
2023-01-06 03:00:00,399.76
2023-01-06 04:00:00,182.72
2023-01-06 05:00:00,107.52
2023-01-06 06:00:00,218.16
2023-01-06 07:00:00,308.64
2023-01-06 08:00:00,518.56
2023-01-06 09:00:00,490.16
2023-01-06 10:00:00,392.8
2023-01-06 11:00:00,357.44
2023-01-06 12:00:00,389.52
2023-01-06 13:00:00,438.48
2023-01-06 14:00:00,562.24
2023-01-06 15:00:00,468.56
2023-01-06 16:00:00,514.24
2023-01-06 17:00:00,404.64
2023-01-06 18:00:00,616.0
2023-01-06 19:00:00,556.24
2023-01-06 20:00:00,683.04
2023-01-06 21:00:00,877.76
2023-01-06 22:00:00,794.88
2023-01-06 23:00:00,892.96
2023-01-07 00:00:00,717.36
2023-01-07 01:00:00,801.04
2023-01-07 02:00:00,764.96
2023-01-07 03:00:00,530.96
2023-01-07 04:00:00,375.52
2023-01-07 05:00:00,462.8
2023-01-07 06:00:00,372.56
2023-01-07 07:00:00,358.0
2023-01-07 08:00:00,434.8
2023-01-07 09:00:00,349.52
2023-01-07 10:00:00,184.72
2023-01-07 11:00:00,32.16
2023-01-07 12:00:00,2.08
2023-01-07 13:00:00,0.0
2023-01-07 14:00:00,0.0
2023-01-07 15:00:00,6.24
2023-01-07 16:00:00,45.92
2023-01-07 17:00:00,166.56
