,MW
2023-01-01 01:00:00,105.46
2023-01-01 02:00:00,705.2025
2023-01-01 03:00:00,620.6500000000001
2023-01-01 04:00:00,826.24
2023-01-01 05:00:00,250.16500000000002
2023-01-01 06:00:00,359.825
2023-01-01 07:00:00,39.9225
2023-01-01 08:00:00,0.0
2023-01-01 09:00:00,64.93
2023-01-01 10:00:00,724.15
2023-01-01 11:00:00,391.02250000000004
2023-01-01 12:00:00,377.97
2023-01-01 13:00:00,458.91999999999996
2023-01-01 14:00:00,555.785
2023-01-01 15:00:00,274.485
2023-01-01 16:00:00,0.0
2023-01-01 17:00:00,0.0
2023-01-01 18:00:00,0.0
2023-01-01 19:00:00,50.0175
2023-01-01 20:00:00,0.0
2023-01-01 21:00:00,0.0
2023-01-01 22:00:00,0.0
2023-01-01 23:00:00,504.265
2023-01-02 00:00:00,590.0899999999999
2023-01-02 01:00:00,3.4725
2023-01-02 02:00:00,0.0
2023-01-02 03:00:00,0.0
2023-01-02 04:00:00,0.0
2023-01-02 05:00:00,433.3625
2023-01-02 06:00:00,0.0
2023-01-02 07:00:00,476.115
2023-01-02 08:00:00,943.28
2023-01-02 09:00:00,988.0024999999999
2023-01-02 10:00:00,745.0525
2023-01-02 11:00:00,819.3975
2023-01-02 12:00:00,35.9075
2023-01-02 13:00:00,395.3425
2023-01-02 14:00:00,284.845
2023-01-02 15:00:00,0.0
2023-01-02 16:00:00,765.0699999999999
2023-01-02 17:00:00,1035.9524999999999
2023-01-02 18:00:00,1058.31
2023-01-02 19:00:00,719.585
2023-01-02 20:00:00,616.9075
2023-01-02 21:00:00,120.3475
2023-01-02 22:00:00,162.8725
2023-01-02 23:00:00,864.495
2023-01-03 00:00:00,945.8025
2023-01-03 01:00:00,994.6524999999999
2023-01-03 02:00:00,869.565
2023-01-03 03:00:00,617.0625
2023-01-03 04:00:00,208.29
2023-01-03 05:00:00,204.8575
2023-01-03 06:00:00,0.0
2023-01-03 07:00:00,65.045
2023-01-03 08:00:00,414.77
2023-01-03 09:00:00,2.7625
2023-01-03 10:00:00,366.53999999999996
2023-01-03 11:00:00,232.0575
2023-01-03 12:00:00,0.0
2023-01-03 13:00:00,0.0
2023-01-03 14:00:00,0.0
2023-01-03 15:00:00,0.0
2023-01-03 16:00:00,0.0
2023-01-03 17:00:00,741.605
2023-01-03 18:00:00,409.8475
2023-01-03 19:00:00,0.0
2023-01-03 20:00:00,0.0
2023-01-03 21:00:00,117.91
2023-01-03 22:00:00,518.5025
2023-01-03 23:00:00,592.8
2023-01-04 00:00:00,219.5025
2023-01-04 01:00:00,184.54250000000002
2023-01-04 02:00:00,0.0
2023-01-04 03:00:00,0.0
2023-01-04 04:00:00,0.0
2023-01-04 05:00:00,84.89750000000001
