,MW
2023-01-01 01:00:00,2522.7380000000003
2023-01-01 02:00:00,2259.766
2023-01-01 03:00:00,2175.083
2023-01-01 04:00:00,2444.749
2023-01-01 05:00:00,2377.741
2023-01-01 06:00:00,2519.2405
2023-01-01 07:00:00,2817.8869999999997
2023-01-01 08:00:00,2481.3514999999998
2023-01-01 09:00:00,2738.797
2023-01-01 10:00:00,2150.397
2023-01-01 11:00:00,1761.5955
2023-01-01 12:00:00,1326.8005
2023-01-01 13:00:00,266.384
2023-01-01 14:00:00,223.866
2023-01-01 15:00:00,132.3475
2023-01-01 16:00:00,176.345
2023-01-01 17:00:00,237.32750000000001
2023-01-01 18:00:00,217.365
2023-01-01 19:00:00,178.65
2023-01-01 20:00:00,234.31
2023-01-01 21:00:00,277.1
2023-01-01 22:00:00,219.865
2023-01-01 23:00:00,218.725
2023-01-02 00:00:00,391.5625
2023-01-02 01:00:00,493.8325
2023-01-02 02:00:00,672.133
2023-01-02 03:00:00,645.4350000000001
2023-01-02 04:00:00,614.7475000000001
2023-01-02 05:00:00,370.015
2023-01-02 06:00:00,358.59749999999997
2023-01-02 07:00:00,312.4925
2023-01-02 08:00:00,265.6225
2023-01-02 09:00:00,200.8825
2023-01-02 10:00:00,150.6135
2023-01-02 11:00:00,144.4405
2023-01-02 12:00:00,145.192
2023-01-02 13:00:00,160.3475
2023-01-02 14:00:00,228.92000000000002
2023-01-02 15:00:00,186.9825
2023-01-02 16:00:00,200.1275
2023-01-02 17:00:00,14.1145
2023-01-02 18:00:00,209.298
2023-01-02 19:00:00,271.114
2023-01-02 20:00:00,195.572
2023-01-02 21:00:00,369.903
2023-01-02 22:00:00,392.422
2023-01-02 23:00:00,817.926
2023-01-03 00:00:00,1096.2555
2023-01-03 01:00:00,1380.715
2023-01-03 02:00:00,711.439
2023-01-03 03:00:00,550.7255
2023-01-03 04:00:00,433.1555
2023-01-03 05:00:00,670.2435
2023-01-03 06:00:00,407.2345
2023-01-03 07:00:00,235.7295
2023-01-03 08:00:00,229.534
2023-01-03 09:00:00,443.08349999999996
2023-01-03 10:00:00,482.815
2023-01-03 11:00:00,1168.1855
2023-01-03 12:00:00,720.918
2023-01-03 13:00:00,853.6355
2023-01-03 14:00:00,736.9185
2023-01-03 15:00:00,361.405
2023-01-03 16:00:00,391.84000000000003
2023-01-03 17:00:00,547.5115000000001
2023-01-03 18:00:00,703.978
2023-01-03 19:00:00,1014.047
2023-01-03 20:00:00,2001.808
2023-01-03 21:00:00,2180.2799999999997
2023-01-03 22:00:00,2631.4015
2023-01-03 23:00:00,3142.8925
2023-01-04 00:00:00,3125.2965
2023-01-04 01:00:00,3004.6040000000003
2023-01-04 02:00:00,2842.8345
2023-01-04 03:00:00,2448.8655
2023-01-04 04:00:00,2438.391
2023-01-04 05:00:00,2705.0835
2023-01-04 06:00:00,3268.4210000000003
2023-01-04 07:00:00,2934.745
2023-01-04 08:00:00,2783.968
2023-01-04 09:00:00,2735.759
2023-01-04 10:00:00,2347.5975
2023-01-04 11:00:00,2570.2219999999998
2023-01-04 12:00:00,2627.267
2023-01-04 13:00:00,2451.273
2023-01-04 14:00:00,2370.3145
2023-01-04 15:00:00,2372.756
2023-01-04 16:00:00,2494.9885
2023-01-04 17:00:00,2955.705
2023-01-04 18:00:00,2273.674
2023-01-04 19:00:00,2302.4775
2023-01-04 20:00:00,2646.9755
2023-01-04 21:00:00,3342.6915
2023-01-04 22:00:00,3391.319
2023-01-04 23:00:00,3352.572
2023-01-05 00:00:00,3493.062
2023-01-05 01:00:00,3752.9359999999997
2023-01-05 02:00:00,3879.456
2023-01-05 03:00:00,3640.7415
2023-01-05 04:00:00,3622.515
2023-01-05 05:00:00,3699.7645
2023-01-05 06:00:00,3562.502
2023-01-05 07:00:00,2949.562
2023-01-05 08:00:00,2782.0345
2023-01-05 09:00:00,2707.5344999999998
2023-01-05 10:00:00,2247.0735
2023-01-05 11:00:00,1795.845
2023-01-05 12:00:00,1653.647
2023-01-05 13:00:00,1525.464
2023-01-05 14:00:00,1371.6675
2023-01-05 15:00:00,777.8195
