,MW
2023-01-01 01:00:00,2006.8175
2023-01-01 02:00:00,1967.162
2023-01-01 03:00:00,1442.3575
2023-01-01 04:00:00,1473.789
2023-01-01 05:00:00,1446.148
2023-01-01 06:00:00,1671.084
2023-01-01 07:00:00,1866.524
2023-01-01 08:00:00,2080.895
2023-01-01 09:00:00,2021.2175
2023-01-01 10:00:00,1821.775
2023-01-01 11:00:00,1352.2335
2023-01-01 12:00:00,832.977
2023-01-01 13:00:00,23.7475
2023-01-01 14:00:00,0.0
2023-01-01 15:00:00,0.0
2023-01-01 16:00:00,0.0
2023-01-01 17:00:00,0.0
2023-01-01 18:00:00,0.0
2023-01-01 19:00:00,0.0
2023-01-01 20:00:00,0.0
2023-01-01 21:00:00,0.0
2023-01-01 22:00:00,0.0
2023-01-01 23:00:00,0.0
2023-01-02 00:00:00,0.0
2023-01-02 01:00:00,0.0
2023-01-02 02:00:00,0.0
2023-01-02 03:00:00,0.0
2023-01-02 04:00:00,0.0
2023-01-02 05:00:00,0.0
2023-01-02 06:00:00,0.0
2023-01-02 07:00:00,0.0
2023-01-02 08:00:00,0.0
2023-01-02 09:00:00,0.0
2023-01-02 10:00:00,0.0
2023-01-02 11:00:00,0.0
2023-01-02 12:00:00,0.0
2023-01-02 13:00:00,0.0
2023-01-02 14:00:00,0.0
2023-01-02 15:00:00,0.0
2023-01-02 16:00:00,0.0
2023-01-02 17:00:00,0.0
2023-01-02 18:00:00,197.952
2023-01-02 19:00:00,699.965
2023-01-02 20:00:00,766.483
2023-01-02 21:00:00,628.888
2023-01-02 22:00:00,426.7735
2023-01-02 23:00:00,827.1995
2023-01-03 00:00:00,528.5065
2023-01-03 01:00:00,544.946
2023-01-03 02:00:00,6.3425
2023-01-03 03:00:00,0.0
2023-01-03 04:00:00,0.0
2023-01-03 05:00:00,0.0
2023-01-03 06:00:00,0.0
2023-01-03 07:00:00,0.0
2023-01-03 08:00:00,0.0
2023-01-03 09:00:00,0.0
2023-01-03 10:00:00,0.0
2023-01-03 11:00:00,0.0
2023-01-03 12:00:00,0.0
2023-01-03 13:00:00,0.0
2023-01-03 14:00:00,0.0
2023-01-03 15:00:00,0.0
2023-01-03 16:00:00,0.0
2023-01-03 17:00:00,0.0
2023-01-03 18:00:00,0.0
2023-01-03 19:00:00,0.0
2023-01-03 20:00:00,0.0
2023-01-03 21:00:00,0.0
2023-01-03 22:00:00,18.574
2023-01-03 23:00:00,111.645
2023-01-04 00:00:00,1.55
2023-01-04 01:00:00,41.989
2023-01-04 02:00:00,3.182
2023-01-04 03:00:00,0.0
2023-01-04 04:00:00,0.0
2023-01-04 05:00:00,0.0
2023-01-04 06:00:00,337.144
2023-01-04 07:00:00,388.418
2023-01-04 08:00:00,444.788
2023-01-04 09:00:00,531.391
2023-01-04 10:00:00,77.927
2023-01-04 11:00:00,101.057
2023-01-04 12:00:00,140.244
2023-01-04 13:00:00,12.626
2023-01-04 14:00:00,21.561
2023-01-04 15:00:00,19.15
2023-01-04 16:00:00,11.982
2023-01-04 17:00:00,335.966
2023-01-04 18:00:00,448.856
2023-01-04 19:00:00,738.957
2023-01-04 20:00:00,773.996
2023-01-04 21:00:00,725.954
2023-01-04 22:00:00,738.731
2023-01-04 23:00:00,833.063
2023-01-05 00:00:00,873.461
2023-01-05 01:00:00,1049.901
2023-01-05 02:00:00,1090.633
2023-01-05 03:00:00,928.429
2023-01-05 04:00:00,863.549
2023-01-05 05:00:00,1129.606
2023-01-05 06:00:00,1092.4255
2023-01-05 07:00:00,985.188
2023-01-05 08:00:00,1101.3795
2023-01-05 09:00:00,858.146
2023-01-05 10:00:00,393.1675
2023-01-05 11:00:00,224.907
2023-01-05 12:00:00,0.0
2023-01-05 13:00:00,0.0
2023-01-05 14:00:00,0.0
2023-01-05 15:00:00,0.0
2023-01-05 16:00:00,0.0
2023-01-05 17:00:00,0.0
2023-01-05 18:00:00,0.0
2023-01-05 19:00:00,0.0
2023-01-05 20:00:00,0.0
2023-01-05 21:00:00,0.0
2023-01-05 22:00:00,0.0
2023-01-05 23:00:00,0.0
2023-01-06 00:00:00,0.0
2023-01-06 01:00:00,0.0
2023-01-06 02:00:00,0.0
2023-01-06 03:00:00,0.0
2023-01-06 04:00:00,0.0
2023-01-06 05:00:00,0.0
2023-01-06 06:00:00,0.0
2023-01-06 07:00:00,350.661
2023-01-06 08:00:00,997.842
2023-01-06 09:00:00,1068.709
2023-01-06 10:00:00,974.3965
2023-01-06 11:00:00,774.9665
2023-01-06 12:00:00,660.5045
2023-01-06 13:00:00,433.924
2023-01-06 14:00:00,241.224
2023-01-06 15:00:00,0.0
2023-01-06 16:00:00,0.0
2023-01-06 17:00:00,0.0
2023-01-06 18:00:00,0.0
2023-01-06 19:00:00,0.0
2023-01-06 20:00:00,0.0
2023-01-06 21:00:00,0.0
2023-01-06 22:00:00,0.0
2023-01-06 23:00:00,0.0
2023-01-07 00:00:00,0.0
