,MW
2023-01-01 01:00:00,0.0
2023-01-01 02:00:00,0.0
2023-01-01 03:00:00,0.0
2023-01-01 04:00:00,0.0
2023-01-01 05:00:00,0.0
2023-01-01 06:00:00,0.0
2023-01-01 07:00:00,0.0
2023-01-01 08:00:00,0.0
2023-01-01 09:00:00,0.0
2023-01-01 10:00:00,0.0
2023-01-01 11:00:00,0.0
2023-01-01 12:00:00,0.0
2023-01-01 13:00:00,0.0
2023-01-01 14:00:00,0.0
2023-01-01 15:00:00,0.0
2023-01-01 16:00:00,0.0
2023-01-01 17:00:00,0.0
2023-01-01 18:00:00,0.0
2023-01-01 19:00:00,0.0
2023-01-01 20:00:00,0.0
2023-01-01 21:00:00,0.0
2023-01-01 22:00:00,0.0
2023-01-01 23:00:00,0.0
2023-01-02 00:00:00,0.0
2023-01-02 01:00:00,0.0
2023-01-02 02:00:00,0.0
2023-01-02 03:00:00,0.0
2023-01-02 04:00:00,0.0
2023-01-02 05:00:00,0.0
2023-01-02 06:00:00,0.0
2023-01-02 07:00:00,0.0
2023-01-02 08:00:00,0.0
2023-01-02 09:00:00,0.0
2023-01-02 10:00:00,0.0
2023-01-02 11:00:00,0.0
2023-01-02 12:00:00,0.0
2023-01-02 13:00:00,0.0
2023-01-02 14:00:00,0.0
2023-01-02 15:00:00,0.0
2023-01-02 16:00:00,0.0
2023-01-02 17:00:00,0.0
2023-01-02 18:00:00,56.48
2023-01-02 19:00:00,29.759999999999998
2023-01-02 20:00:00,0.0
2023-01-02 21:00:00,0.0
2023-01-02 22:00:00,23.04
2023-01-02 23:00:00,56.96
2023-01-03 00:00:00,0.16
2023-01-03 01:00:00,0.0
2023-01-03 02:00:00,0.0
2023-01-03 03:00:00,0.0
2023-01-03 04:00:00,0.0
2023-01-03 05:00:00,18.16
2023-01-03 06:00:00,778.24
2023-01-03 07:00:00,1312.8
2023-01-03 08:00:00,739.6
2023-01-03 09:00:00,105.75999999999999
2023-01-03 10:00:00,441.04
2023-01-03 11:00:00,428.96000000000004
2023-01-03 12:00:00,496.0
2023-01-03 13:00:00,35.44
2023-01-03 14:00:00,497.44
2023-01-03 15:00:00,455.68
2023-01-03 16:00:00,583.52
2023-01-03 17:00:00,248.24
2023-01-03 18:00:00,6.5600000000000005
2023-01-03 19:00:00,45.28
2023-01-03 20:00:00,0.0
2023-01-03 21:00:00,0.0
2023-01-03 22:00:00,0.0
2023-01-03 23:00:00,0.0
2023-01-04 00:00:00,0.0
2023-01-04 01:00:00,0.0
2023-01-04 02:00:00,0.0
2023-01-04 03:00:00,0.0
2023-01-04 04:00:00,0.0
2023-01-04 05:00:00,0.0
2023-01-04 06:00:00,0.0
2023-01-04 07:00:00,0.0
2023-01-04 08:00:00,0.0
2023-01-04 09:00:00,0.0
2023-01-04 10:00:00,0.0
2023-01-04 11:00:00,0.0
2023-01-04 12:00:00,0.0
2023-01-04 13:00:00,0.0
2023-01-04 14:00:00,0.0
2023-01-04 15:00:00,0.0
2023-01-04 16:00:00,0.0
2023-01-04 17:00:00,0.0
2023-01-04 18:00:00,0.0
2023-01-04 19:00:00,0.0
2023-01-04 20:00:00,0.0
2023-01-04 21:00:00,0.0
2023-01-04 22:00:00,0.0
2023-01-04 23:00:00,0.0
2023-01-05 00:00:00,0.0
2023-01-05 01:00:00,0.0
2023-01-05 02:00:00,0.0
2023-01-05 03:00:00,0.0
2023-01-05 04:00:00,0.0
2023-01-05 05:00:00,0.0
2023-01-05 06:00:00,0.0
2023-01-05 07:00:00,0.0
2023-01-05 08:00:00,0.0
2023-01-05 09:00:00,0.0
2023-01-05 10:00:00,0.0
2023-01-05 11:00:00,0.0
2023-01-05 12:00:00,0.0
2023-01-05 13:00:00,0.0
2023-01-05 14:00:00,0.0
2023-01-05 15:00:00,0.0
2023-01-05 16:00:00,45.519999999999996
2023-01-05 17:00:00,0.0
2023-01-05 18:00:00,293.6
2023-01-05 19:00:00,647.36
2023-01-05 20:00:00,614.08
2023-01-05 21:00:00,749.04
2023-01-05 22:00:00,954.88
2023-01-05 23:00:00,336.96
2023-01-06 00:00:00,86.32
2023-01-06 01:00:00,10.16
2023-01-06 02:00:00,4.4
2023-01-06 03:00:00,6.3999999999999995
2023-01-06 04:00:00,11.04
2023-01-06 05:00:00,6.4799999999999995
2023-01-06 06:00:00,137.52
2023-01-06 07:00:00,49.28
2023-01-06 08:00:00,19.52
2023-01-06 09:00:00,27.44
2023-01-06 10:00:00,0.0
2023-01-06 11:00:00,0.0
2023-01-06 12:00:00,0.0
2023-01-06 13:00:00,0.0
2023-01-06 14:00:00,0.0
2023-01-06 15:00:00,0.32
2023-01-06 16:00:00,59.120000000000005
2023-01-06 17:00:00,21.599999999999998
2023-01-06 18:00:00,650.72
2023-01-06 19:00:00,176.88
2023-01-06 20:00:00,248.48
2023-01-06 21:00:00,546.5600000000001
2023-01-06 22:00:00,814.8
2023-01-06 23:00:00,1322.48
2023-01-07 00:00:00,509.76
2023-01-07 01:00:00,226.64
2023-01-07 02:00:00,0.08
2023-01-07 03:00:00,0.0
2023-01-07 04:00:00,0.0
2023-01-07 05:00:00,14.559999999999999
2023-01-07 06:00:00,301.91999999999996
2023-01-07 07:00:00,562.0
2023-01-07 08:00:00,412.96000000000004
2023-01-07 09:00:00,111.92
2023-01-07 10:00:00,0.0
2023-01-07 11:00:00,0.0
2023-01-07 12:00:00,35.120000000000005
2023-01-07 13:00:00,34.879999999999995
2023-01-07 14:00:00,21.919999999999998
2023-01-07 15:00:00,0.0
2023-01-07 16:00:00,0.0
2023-01-07 17:00:00,0.0
2023-01-07 18:00:00,0.0
2023-01-07 19:00:00,0.0
2023-01-07 20:00:00,0.0
2023-01-07 21:00:00,0.0
2023-01-07 22:00:00,0.0
2023-01-07 23:00:00,0.0
2023-01-08 00:00:00,0.0
2023-01-08 01:00:00,0.0
2023-01-08 02:00:00,0.0
