,MW
2023-01-01 01:00:00,16.8
2023-01-01 02:00:00,1034.09
2023-01-01 03:00:00,1317.3
2023-01-01 04:00:00,1445.6399999999999
2023-01-01 05:00:00,1137.16
2023-01-01 06:00:00,1421.92
2023-01-01 07:00:00,1104.7
2023-01-01 08:00:00,1021.01
2023-01-01 09:00:00,1162.6799999999998
2023-01-01 10:00:00,1296.49
2023-01-01 11:00:00,360.76
2023-01-01 12:00:00,350.2
2023-01-01 13:00:00,176.3
2023-01-01 14:00:00,294.3
2023-01-01 15:00:00,24.72
2023-01-01 16:00:00,0.0
2023-01-01 17:00:00,0.0
2023-01-01 18:00:00,0.0
2023-01-01 19:00:00,0.0
2023-01-01 20:00:00,0.0
2023-01-01 21:00:00,0.0
2023-01-01 22:00:00,0.0
2023-01-01 23:00:00,0.0
2023-01-02 00:00:00,45.72
2023-01-02 01:00:00,656.6700000000001
2023-01-02 02:00:00,1075.1599999999999
2023-01-02 03:00:00,898.65
2023-01-02 04:00:00,733.9300000000001
2023-01-02 05:00:00,524.56
2023-01-02 06:00:00,79.31
2023-01-02 07:00:00,0.0
2023-01-02 08:00:00,0.0
2023-01-02 09:00:00,0.0
2023-01-02 10:00:00,0.0
2023-01-02 11:00:00,0.0
2023-01-02 12:00:00,0.0
2023-01-02 13:00:00,0.0
2023-01-02 14:00:00,0.0
2023-01-02 15:00:00,0.0
2023-01-02 16:00:00,0.0
2023-01-02 17:00:00,0.0
2023-01-02 18:00:00,0.0
2023-01-02 19:00:00,0.0
2023-01-02 20:00:00,0.0
2023-01-02 21:00:00,0.0
2023-01-02 22:00:00,0.0
2023-01-02 23:00:00,0.0
2023-01-03 00:00:00,0.0
2023-01-03 01:00:00,0.0
2023-01-03 02:00:00,0.0
2023-01-03 03:00:00,0.0
2023-01-03 04:00:00,0.0
2023-01-03 05:00:00,0.0
2023-01-03 06:00:00,0.0
2023-01-03 07:00:00,0.0
2023-01-03 08:00:00,0.0
2023-01-03 09:00:00,0.0
2023-01-03 10:00:00,0.0
2023-01-03 11:00:00,0.0
2023-01-03 12:00:00,0.0
2023-01-03 13:00:00,64.5
2023-01-03 14:00:00,51.32
2023-01-03 15:00:00,356.73
2023-01-03 16:00:00,764.35
2023-01-03 17:00:00,954.6800000000001
2023-01-03 18:00:00,1017.0799999999999
2023-01-03 19:00:00,920.17
2023-01-03 20:00:00,763.9
2023-01-03 21:00:00,1168.1599999999999
2023-01-03 22:00:00,1843.55
2023-01-03 23:00:00,2094.34
2023-01-04 00:00:00,2958.06
2023-01-04 01:00:00,2930.88
2023-01-04 02:00:00,2803.89
2023-01-04 03:00:00,2952.41
2023-01-04 04:00:00,2841.66
2023-01-04 05:00:00,2870.81
2023-01-04 06:00:00,2008.19
2023-01-04 07:00:00,1577.89
2023-01-04 08:00:00,1096.97
2023-01-04 09:00:00,376.91
2023-01-04 10:00:00,448.89
2023-01-04 11:00:00,522.4
