,MW
2024-01-01 01:00:00,0.0
2024-01-01 02:00:00,14.056391
2024-01-01 03:00:00,0.0
2024-01-01 04:00:00,0.0
2024-01-01 05:00:00,0.0
2024-01-01 06:00:00,0.0
2024-01-01 07:00:00,0.0
2024-01-01 08:00:00,0.0
2024-01-01 09:00:00,0.0
2024-01-01 10:00:00,0.0
2024-01-01 11:00:00,0.0
2024-01-01 12:00:00,0.0
2024-01-01 13:00:00,54.6934675
2024-01-01 14:00:00,72.2377015
2024-01-01 15:00:00,812.8107985
2024-01-01 16:00:00,777.111314
2024-01-01 17:00:00,1008.9594910000001
2024-01-01 18:00:00,887.6060729999999
2024-01-01 19:00:00,181.850564
2024-01-01 20:00:00,1084.62865
2024-01-01 21:00:00,1002.216228
2024-01-01 22:00:00,1160.132372
2024-01-01 23:00:00,1222.421092
2024-01-02 00:00:00,1241.7402
2024-01-02 01:00:00,1264.402992
2024-01-02 02:00:00,1206.242896
2024-01-02 03:00:00,1240.77576
2024-01-02 04:00:00,1245.391388
2024-01-02 05:00:00,1098.67626
2024-01-02 06:00:00,1111.078978
2024-01-02 07:00:00,969.698224
2024-01-02 08:00:00,901.6006600000001
2024-01-02 09:00:00,799.2923499999999
2024-01-02 10:00:00,563.617576
2024-01-02 11:00:00,993.691366
2024-01-02 12:00:00,936.778722
2024-01-02 13:00:00,1128.570536
2024-01-02 14:00:00,1021.0843339999999
2024-01-02 15:00:00,1129.861886
2024-01-02 16:00:00,979.37027025
2024-01-02 17:00:00,867.3322559999999
2024-01-02 18:00:00,591.488887
2024-01-02 19:00:00,246.849338
2024-01-02 20:00:00,132.777828
2024-01-02 21:00:00,134.400046
2024-01-02 22:00:00,10.90491475
2024-01-02 23:00:00,0.0
2024-01-03 00:00:00,72.07519675
2024-01-03 01:00:00,131.64313
2024-01-03 02:00:00,35.05724175
2024-01-03 03:00:00,18.92943425
2024-01-03 04:00:00,40.798164
2024-01-03 05:00:00,215.32648
2024-01-03 06:00:00,119.953356
2024-01-03 07:00:00,33.374703
2024-01-03 08:00:00,3.50061475
2024-01-03 09:00:00,6.77627625
2024-01-03 10:00:00,36.6163025
2024-01-03 11:00:00,88.05611
2024-01-03 12:00:00,60.382588999999996
2024-01-03 13:00:00,81.550912
2024-01-03 14:00:00,277.91749400000003
2024-01-03 15:00:00,793.786653
2024-01-03 16:00:00,845.73377525
2024-01-03 17:00:00,854.7111130000001
2024-01-03 18:00:00,201.65925075
2024-01-03 19:00:00,114.842588
2024-01-03 20:00:00,518.592034
2024-01-03 21:00:00,994.14006425
2024-01-03 22:00:00,980.8585975
2024-01-03 23:00:00,300.65716199999997
2024-01-04 00:00:00,441.07390575
2024-01-04 01:00:00,300.380856
2024-01-04 02:00:00,350.253607
2024-01-04 03:00:00,99.007774
2024-01-04 04:00:00,191.576392
2024-01-04 05:00:00,56.89454775
2024-01-04 06:00:00,284.69994275
