,MW
2024-01-01 01:00:00,0.0
2024-01-01 02:00:00,0.0
2024-01-01 03:00:00,0.0
2024-01-01 04:00:00,0.0
2024-01-01 05:00:00,0.0
2024-01-01 06:00:00,0.0
2024-01-01 07:00:00,0.0
2024-01-01 08:00:00,0.0
2024-01-01 09:00:00,0.0
2024-01-01 10:00:00,0.0
2024-01-01 11:00:00,0.0
2024-01-01 12:00:00,0.0
2024-01-01 13:00:00,44.923
2024-01-01 14:00:00,168.208
2024-01-01 15:00:00,375.5455
2024-01-01 16:00:00,615.8885
2024-01-01 17:00:00,519.5915
2024-01-01 18:00:00,709.1915
2024-01-01 19:00:00,706.404
2024-01-01 20:00:00,704.821
2024-01-01 21:00:00,437.242
2024-01-01 22:00:00,530.53
2024-01-01 23:00:00,440.352
2024-01-02 00:00:00,480.337
2024-01-02 01:00:00,613.402
2024-01-02 02:00:00,502.047
2024-01-02 03:00:00,512.311
2024-01-02 04:00:00,533.018
2024-01-02 05:00:00,542.7819999999999
2024-01-02 06:00:00,645.779
2024-01-02 07:00:00,728.5264999999999
2024-01-02 08:00:00,849.9475
2024-01-02 09:00:00,1097.3005
2024-01-02 10:00:00,1444.037
2024-01-02 11:00:00,1745.871
2024-01-02 12:00:00,1557.216
2024-01-02 13:00:00,1852.3709999999999
2024-01-02 14:00:00,1720.379
2024-01-02 15:00:00,1589.076
2024-01-02 16:00:00,1169.844
2024-01-02 17:00:00,1101.489
2024-01-02 18:00:00,1033.3165
2024-01-02 19:00:00,924.385
2024-01-02 20:00:00,602.7015
2024-01-02 21:00:00,338.182
2024-01-02 22:00:00,97.792
2024-01-02 23:00:00,5.437
2024-01-03 00:00:00,143.851
2024-01-03 01:00:00,167.12
2024-01-03 02:00:00,53.187
2024-01-03 03:00:00,111.587
2024-01-03 04:00:00,162.81900000000002
2024-01-03 05:00:00,337.769
2024-01-03 06:00:00,224.642
2024-01-03 07:00:00,134.545
2024-01-03 08:00:00,166.558
2024-01-03 09:00:00,9.362
2024-01-03 10:00:00,1.878
2024-01-03 11:00:00,0.0
2024-01-03 12:00:00,0.0
2024-01-03 13:00:00,0.0
2024-01-03 14:00:00,89.275
2024-01-03 15:00:00,226.58100000000002
2024-01-03 16:00:00,309.264
2024-01-03 17:00:00,383.845
2024-01-03 18:00:00,374.3085
2024-01-03 19:00:00,461.2455
2024-01-03 20:00:00,477.932
2024-01-03 21:00:00,602.544
2024-01-03 22:00:00,438.229
2024-01-03 23:00:00,157.727
2024-01-04 00:00:00,307.925
2024-01-04 01:00:00,419.437
2024-01-04 02:00:00,419.288
2024-01-04 03:00:00,407.673
2024-01-04 04:00:00,375.88
2024-01-04 05:00:00,335.344
2024-01-04 06:00:00,98.223
2024-01-04 07:00:00,270.688
2024-01-04 08:00:00,102.40299999999999
2024-01-04 09:00:00,87.20400000000001
2024-01-04 10:00:00,1.834
2024-01-04 11:00:00,0.0
2024-01-04 12:00:00,540.0005
2024-01-04 13:00:00,1299.596
2024-01-04 14:00:00,1545.4045
2024-01-04 15:00:00,1933.413
2024-01-04 16:00:00,2033.528
2024-01-04 17:00:00,2279.2555
2024-01-04 18:00:00,1875.0485
2024-01-04 19:00:00,2180.9125
2024-01-04 20:00:00,2175.3345
2024-01-04 21:00:00,1470.2635
2024-01-04 22:00:00,917.3635
2024-01-04 23:00:00,658.4325
2024-01-05 00:00:00,374.80899999999997
2024-01-05 01:00:00,489.426
2024-01-05 02:00:00,479.604
2024-01-05 03:00:00,468.821
2024-01-05 04:00:00,460.034
2024-01-05 05:00:00,450.119
2024-01-05 06:00:00,631.435
2024-01-05 07:00:00,654.1370000000001
2024-01-05 08:00:00,607.3245
2024-01-05 09:00:00,348.468
2024-01-05 10:00:00,59.761
2024-01-05 11:00:00,0.0
2024-01-05 12:00:00,65.396
2024-01-05 13:00:00,190.965
2024-01-05 14:00:00,258.248
2024-01-05 15:00:00,527.284
2024-01-05 16:00:00,1158.442
