,MW
2024-01-01 01:00:00,2208.212
2024-01-01 02:00:00,2043.362
2024-01-01 03:00:00,1765.603
2024-01-01 04:00:00,1679.234
2024-01-01 05:00:00,1604.3654999999999
2024-01-01 06:00:00,1521.0529999999999
2024-01-01 07:00:00,1626.0715
2024-01-01 08:00:00,1730.3015
2024-01-01 09:00:00,1558.0439999999999
2024-01-01 10:00:00,2016.905
2024-01-01 11:00:00,2049.876
2024-01-01 12:00:00,1892.5825
2024-01-01 13:00:00,1644.006
2024-01-01 14:00:00,1779.63
2024-01-01 15:00:00,1221.0265
2024-01-01 16:00:00,302.96000000000004
2024-01-01 17:00:00,247.095
2024-01-01 18:00:00,223.0875
2024-01-01 19:00:00,206.6025
2024-01-01 20:00:00,180.975
2024-01-01 21:00:00,398.062
2024-01-01 22:00:00,385.4735
2024-01-01 23:00:00,723.7995
2024-01-02 00:00:00,1251.5065
2024-01-02 01:00:00,1361.148
2024-01-02 02:00:00,1518.4115000000002
2024-01-02 03:00:00,1559.0839999999998
2024-01-02 04:00:00,2059.899
2024-01-02 05:00:00,2359.949
2024-01-02 06:00:00,1498.1335
2024-01-02 07:00:00,1515.6165
2024-01-02 08:00:00,1297.8455000000001
2024-01-02 09:00:00,1022.1925
2024-01-02 10:00:00,926.8775
2024-01-02 11:00:00,560.935
2024-01-02 12:00:00,459.995
2024-01-02 13:00:00,548.5525
2024-01-02 14:00:00,932.6275
2024-01-02 15:00:00,1237.8125
2024-01-02 16:00:00,1408.46
2024-01-02 17:00:00,1385.3905
2024-01-02 18:00:00,1282.1555
2024-01-02 19:00:00,1338.5595
2024-01-02 20:00:00,1701.9025000000001
2024-01-02 21:00:00,1808.859
2024-01-02 22:00:00,1979.5459999999998
2024-01-02 23:00:00,2128.585
2024-01-03 00:00:00,2423.2765
2024-01-03 01:00:00,2478.437
2024-01-03 02:00:00,2166.1775
2024-01-03 03:00:00,2107.509
2024-01-03 04:00:00,2107.545
2024-01-03 05:00:00,2420.2235
2024-01-03 06:00:00,2568.4415
2024-01-03 07:00:00,2063.8185000000003
2024-01-03 08:00:00,1850.9355
2024-01-03 09:00:00,1577.7759999999998
2024-01-03 10:00:00,1754.673
2024-01-03 11:00:00,1613.237
2024-01-03 12:00:00,1594.557
2024-01-03 13:00:00,1560.741
2024-01-03 14:00:00,1166.984
2024-01-03 15:00:00,745.6455
2024-01-03 16:00:00,659.938
2024-01-03 17:00:00,522.6865
2024-01-03 18:00:00,520.2090000000001
2024-01-03 19:00:00,400.04
2024-01-03 20:00:00,600.1045
2024-01-03 21:00:00,463.9715
2024-01-03 22:00:00,543.721
2024-01-03 23:00:00,883.7964999999999
2024-01-04 00:00:00,1269.5725
2024-01-04 01:00:00,1305.76
2024-01-04 02:00:00,1387.2865
2024-01-04 03:00:00,1370.8935000000001
2024-01-04 04:00:00,1377.0990000000002
2024-01-04 05:00:00,1327.998
2024-01-04 06:00:00,977.4315
2024-01-04 07:00:00,873.3815
2024-01-04 08:00:00,609.2465
2024-01-04 09:00:00,786.5260000000001
2024-01-04 10:00:00,950.4545
2024-01-04 11:00:00,1526.812
2024-01-04 12:00:00,899.741
2024-01-04 13:00:00,666.4375
2024-01-04 14:00:00,591.8924999999999
2024-01-04 15:00:00,503.175
2024-01-04 16:00:00,835.79
2024-01-04 17:00:00,917.4175
2024-01-04 18:00:00,1096.7075
2024-01-04 19:00:00,690.755
2024-01-04 20:00:00,523.9125
2024-01-04 21:00:00,595.215
2024-01-04 22:00:00,549.035
2024-01-04 23:00:00,565.575
2024-01-05 00:00:00,611.913
2024-01-05 01:00:00,428.471
2024-01-05 02:00:00,571.4465
2024-01-05 03:00:00,486.209
2024-01-05 04:00:00,524.8575000000001
2024-01-05 05:00:00,1026.592
2024-01-05 06:00:00,1091.2005
2024-01-05 07:00:00,817.046
2024-01-05 08:00:00,415.067
2024-01-05 09:00:00,651.333
2024-01-05 10:00:00,1084.9205
2024-01-05 11:00:00,1284.706
2024-01-05 12:00:00,1126.174
2024-01-05 13:00:00,868.5135
2024-01-05 14:00:00,742.574
2024-01-05 15:00:00,565.0645
2024-01-05 16:00:00,628.125
2024-01-05 17:00:00,525.535
2024-01-05 18:00:00,480.29
2024-01-05 19:00:00,668.2825
2024-01-05 20:00:00,581.8820000000001
2024-01-05 21:00:00,500.067
2024-01-05 22:00:00,484.052
2024-01-05 23:00:00,596.3395
2024-01-06 00:00:00,474.6945
2024-01-06 01:00:00,344.34
2024-01-06 02:00:00,318.57
2024-01-06 03:00:00,237.055
2024-01-06 04:00:00,186.01749999999998
2024-01-06 05:00:00,226.7345
2024-01-06 06:00:00,385.788
2024-01-06 07:00:00,502.727
2024-01-06 08:00:00,430.189
2024-01-06 09:00:00,218.8095
2024-01-06 10:00:00,227.54749999999999
2024-01-06 11:00:00,433.78749999999997
2024-01-06 12:00:00,201.0525
2024-01-06 13:00:00,277.59000000000003
2024-01-06 14:00:00,382.2
2024-01-06 15:00:00,322.47
2024-01-06 16:00:00,260.9075
2024-01-06 17:00:00,574.9825
2024-01-06 18:00:00,689.565
2024-01-06 19:00:00,675.3774999999999
2024-01-06 20:00:00,521.9125
2024-01-06 21:00:00,627.748
2024-01-06 22:00:00,689.451
2024-01-06 23:00:00,1089.3545
2024-01-07 00:00:00,1101.766
2024-01-07 01:00:00,984.658
2024-01-07 02:00:00,869.629
2024-01-07 03:00:00,620.2760000000001
2024-01-07 04:00:00,646.56
2024-01-07 05:00:00,671.427
2024-01-07 06:00:00,773.1045
2024-01-07 07:00:00,675.93
2024-01-07 08:00:00,779.143
2024-01-07 09:00:00,982.8589999999999
2024-01-07 10:00:00,1037.334
2024-01-07 11:00:00,1099.9855
2024-01-07 12:00:00,1075.7375
2024-01-07 13:00:00,1040.7514999999999
2024-01-07 14:00:00,911.6945000000001
2024-01-07 15:00:00,714.6675
2024-01-07 16:00:00,617.5875
2024-01-07 17:00:00,591.86
2024-01-07 18:00:00,714.9975
2024-01-07 19:00:00,893.31
2024-01-07 20:00:00,1132.716
2024-01-07 21:00:00,1534.6444999999999
2024-01-07 22:00:00,1529.9545
2024-01-07 23:00:00,1347.538
2024-01-08 00:00:00,1287.3955
2024-01-08 01:00:00,1240.04
2024-01-08 02:00:00,1160.1415
2024-01-08 03:00:00,1014.5155
2024-01-08 04:00:00,955.736
2024-01-08 05:00:00,972.86
2024-01-08 06:00:00,1135.141
2024-01-08 07:00:00,854.823
2024-01-08 08:00:00,715.9525
2024-01-08 09:00:00,859.19
2024-01-08 10:00:00,904.0955
2024-01-08 11:00:00,941.0555
2024-01-08 12:00:00,1127.164
2024-01-08 13:00:00,1154.216
2024-01-08 14:00:00,915.274
2024-01-08 15:00:00,615.1565
2024-01-08 16:00:00,437.56100000000004
2024-01-08 17:00:00,663.555
2024-01-08 18:00:00,1031.345
2024-01-08 19:00:00,753.7194999999999
2024-01-08 20:00:00,1444.816
2024-01-08 21:00:00,1736.9855
2024-01-08 22:00:00,1590.123
2024-01-08 23:00:00,1706.233
2024-01-09 00:00:00,1351.6345
2024-01-09 01:00:00,1295.2215
2024-01-09 02:00:00,1109.0975
2024-01-09 03:00:00,975.5775
2024-01-09 04:00:00,1021.2349999999999
2024-01-09 05:00:00,1060.741
2024-01-09 06:00:00,1210.5655000000002
2024-01-09 07:00:00,509.705
2024-01-09 08:00:00,808.995
2024-01-09 09:00:00,1366.135
2024-01-09 10:00:00,1555.784
2024-01-09 11:00:00,1638.8915
2024-01-09 12:00:00,1664.3295
2024-01-09 13:00:00,1587.83
2024-01-09 14:00:00,1463.4875
2024-01-09 15:00:00,1043.8525
2024-01-09 16:00:00,593.125
2024-01-09 17:00:00,560.6949999999999
2024-01-09 18:00:00,841.0975
2024-01-09 19:00:00,880.93
2024-01-09 20:00:00,711.8075
2024-01-09 21:00:00,1011.0515
2024-01-09 22:00:00,1284.22
2024-01-09 23:00:00,1356.7675
2024-01-10 00:00:00,1449.26
2024-01-10 01:00:00,1431.188
2024-01-10 02:00:00,1351.8955
2024-01-10 03:00:00,1331.329
2024-01-10 04:00:00,1305.508
2024-01-10 05:00:00,1242.9115000000002
2024-01-10 06:00:00,1022.9225
2024-01-10 07:00:00,603.815
2024-01-10 08:00:00,430.46000000000004
2024-01-10 09:00:00,617.2225
2024-01-10 10:00:00,1008.8425
2024-01-10 11:00:00,1142.9875
2024-01-10 12:00:00,1194.0295
2024-01-10 13:00:00,1109.347
2024-01-10 14:00:00,1094.435
2024-01-10 15:00:00,576.6424999999999
2024-01-10 16:00:00,507.4375
2024-01-10 17:00:00,537.7975
2024-01-10 18:00:00,582.4549999999999
2024-01-10 19:00:00,685.2
2024-01-10 20:00:00,573.1575
2024-01-10 21:00:00,644.04
2024-01-10 22:00:00,722.052
2024-01-10 23:00:00,1099.4234999999999
2024-01-11 00:00:00,1385.7155
2024-01-11 01:00:00,1227.1575
2024-01-11 02:00:00,1325.923
2024-01-11 03:00:00,1255.5955
2024-01-11 04:00:00,1364.3115
2024-01-11 05:00:00,1597.033
2024-01-11 06:00:00,1301.237
2024-01-11 07:00:00,708.3875
2024-01-11 08:00:00,466.495
2024-01-11 09:00:00,757.3075
2024-01-11 10:00:00,1041.6875
2024-01-11 11:00:00,1358.6875
2024-01-11 12:00:00,1791.6734999999999
2024-01-11 13:00:00,1505.92
2024-01-11 14:00:00,1138.56
2024-01-11 15:00:00,754.8675
2024-01-11 16:00:00,678.7575
2024-01-11 17:00:00,687.945
2024-01-11 18:00:00,682.87
2024-01-11 19:00:00,461.0
2024-01-11 20:00:00,443.33
