,MW
2024-01-01 01:00:00,1220.38
2024-01-01 02:00:00,1055.57
2024-01-01 03:00:00,872.14
2024-01-01 04:00:00,700.36
2024-01-01 05:00:00,781.19
2024-01-01 06:00:00,708.96
2024-01-01 07:00:00,733.58
2024-01-01 08:00:00,637.32
2024-01-01 09:00:00,369.6
2024-01-01 10:00:00,479.89
2024-01-01 11:00:00,347.56
2024-01-01 12:00:00,293.34
2024-01-01 13:00:00,389.81
2024-01-01 14:00:00,829.87
2024-01-01 15:00:00,844.32
2024-01-01 16:00:00,859.79
2024-01-01 17:00:00,978.12
2024-01-01 18:00:00,958.49
2024-01-01 19:00:00,920.46
2024-01-01 20:00:00,842.46
2024-01-01 21:00:00,744.05
2024-01-01 22:00:00,781.29
2024-01-01 23:00:00,520.92
2024-01-02 00:00:00,684.96
2024-01-02 01:00:00,802.69
2024-01-02 02:00:00,587.79
2024-01-02 03:00:00,744.41
2024-01-02 04:00:00,1111.03
2024-01-02 05:00:00,1529.19
2024-01-02 06:00:00,1746.25
2024-01-02 07:00:00,2440.36
2024-01-02 08:00:00,2527.14
2024-01-02 09:00:00,2260.19
2024-01-02 10:00:00,2198.68
2024-01-02 11:00:00,2082.01
2024-01-02 12:00:00,2003.33
2024-01-02 13:00:00,2070.82
2024-01-02 14:00:00,2387.77
2024-01-02 15:00:00,2587.8
2024-01-02 16:00:00,2769.6
2024-01-02 17:00:00,2739.4
2024-01-02 18:00:00,2598.51
2024-01-02 19:00:00,2495.41
2024-01-02 20:00:00,2468.08
2024-01-02 21:00:00,2177.82
2024-01-02 22:00:00,1941.16
2024-01-02 23:00:00,1839.52
2024-01-03 00:00:00,1820.14
2024-01-03 01:00:00,1876.48
2024-01-03 02:00:00,1723.78
2024-01-03 03:00:00,1668.23
2024-01-03 04:00:00,1726.95
2024-01-03 05:00:00,2010.71
2024-01-03 06:00:00,2283.91
2024-01-03 07:00:00,2681.12
2024-01-03 08:00:00,2619.29
2024-01-03 09:00:00,2279.7
2024-01-03 10:00:00,2153.18
2024-01-03 11:00:00,1973.06
2024-01-03 12:00:00,2022.24
2024-01-03 13:00:00,2076.35
2024-01-03 14:00:00,1975.42
2024-01-03 15:00:00,1987.04
2024-01-03 16:00:00,2299.78
2024-01-03 17:00:00,2246.35
2024-01-03 18:00:00,2247.93
2024-01-03 19:00:00,2081.09
2024-01-03 20:00:00,2158.56
2024-01-03 21:00:00,1808.14
2024-01-03 22:00:00,1307.52
2024-01-03 23:00:00,1215.75
2024-01-04 00:00:00,1123.98
2024-01-04 01:00:00,1137.11
2024-01-04 02:00:00,1152.49
2024-01-04 03:00:00,1056.93
2024-01-04 04:00:00,1121.89
2024-01-04 05:00:00,1187.42
2024-01-04 06:00:00,1683.83
2024-01-04 07:00:00,2000.86
2024-01-04 08:00:00,1325.44
2024-01-04 09:00:00,708.24
2024-01-04 10:00:00,317.97
2024-01-04 11:00:00,1160.47
2024-01-04 12:00:00,1053.53
2024-01-04 13:00:00,1151.57
2024-01-04 14:00:00,1163.05
2024-01-04 15:00:00,1152.64
2024-01-04 16:00:00,900.35
2024-01-04 17:00:00,337.91
2024-01-04 18:00:00,15.87
2024-01-04 19:00:00,109.24
2024-01-04 20:00:00,269.33
2024-01-04 21:00:00,125.24
2024-01-04 22:00:00,270.17
2024-01-04 23:00:00,488.71
2024-01-05 00:00:00,819.01
2024-01-05 01:00:00,1046.49
2024-01-05 02:00:00,1101.26
2024-01-05 03:00:00,1403.07
2024-01-05 04:00:00,1815.13
2024-01-05 05:00:00,1574.51
2024-01-05 06:00:00,1720.99
2024-01-05 07:00:00,1828.39
2024-01-05 08:00:00,1285.44
2024-01-05 09:00:00,857.29
2024-01-05 10:00:00,676.88
2024-01-05 11:00:00,505.78
2024-01-05 12:00:00,672.89
2024-01-05 13:00:00,982.36
2024-01-05 14:00:00,1110.99
2024-01-05 15:00:00,1213.01
2024-01-05 16:00:00,1236.82
2024-01-05 17:00:00,1322.59
2024-01-05 18:00:00,1271.65
2024-01-05 19:00:00,1277.88
2024-01-05 20:00:00,1182.23
2024-01-05 21:00:00,1429.41
2024-01-05 22:00:00,1285.88
2024-01-05 23:00:00,696.08
2024-01-06 00:00:00,325.17
2024-01-06 01:00:00,18.54
2024-01-06 02:00:00,0.0
2024-01-06 03:00:00,0.0
2024-01-06 04:00:00,0.0
2024-01-06 05:00:00,0.0
2024-01-06 06:00:00,0.0
2024-01-06 07:00:00,0.0
2024-01-06 08:00:00,2.15
2024-01-06 09:00:00,19.67
2024-01-06 10:00:00,0.0
2024-01-06 11:00:00,0.0
2024-01-06 12:00:00,4.97
2024-01-06 13:00:00,112.58
2024-01-06 14:00:00,98.14
2024-01-06 15:00:00,41.9
2024-01-06 16:00:00,12.32
2024-01-06 17:00:00,0.0
2024-01-06 18:00:00,0.0
2024-01-06 19:00:00,0.0
2024-01-06 20:00:00,0.0
2024-01-06 21:00:00,0.0
2024-01-06 22:00:00,0.0
2024-01-06 23:00:00,0.0
2024-01-07 00:00:00,0.0
2024-01-07 01:00:00,0.0
2024-01-07 02:00:00,0.0
2024-01-07 03:00:00,0.0
2024-01-07 04:00:00,0.0
2024-01-07 05:00:00,0.0
2024-01-07 06:00:00,0.0
2024-01-07 07:00:00,0.0
2024-01-07 08:00:00,0.0
2024-01-07 09:00:00,0.0
2024-01-07 10:00:00,0.0
2024-01-07 11:00:00,0.0
2024-01-07 12:00:00,0.0
2024-01-07 13:00:00,0.0
2024-01-07 14:00:00,0.0
2024-01-07 15:00:00,0.0
2024-01-07 16:00:00,0.0
2024-01-07 17:00:00,0.0
2024-01-07 18:00:00,0.0
2024-01-07 19:00:00,2.14
2024-01-07 20:00:00,93.26
2024-01-07 21:00:00,14.02
2024-01-07 22:00:00,2.7
2024-01-07 23:00:00,0.0
2024-01-08 00:00:00,0.0
2024-01-08 01:00:00,0.0
2024-01-08 02:00:00,0.0
2024-01-08 03:00:00,0.0
2024-01-08 04:00:00,0.0
2024-01-08 05:00:00,6.69
2024-01-08 06:00:00,478.99
2024-01-08 07:00:00,399.66
2024-01-08 08:00:00,380.91
2024-01-08 09:00:00,375.86
2024-01-08 10:00:00,553.38
2024-01-08 11:00:00,781.6
2024-01-08 12:00:00,786.14
2024-01-08 13:00:00,936.02
2024-01-08 14:00:00,945.4
2024-01-08 15:00:00,774.24
2024-01-08 16:00:00,762.16
2024-01-08 17:00:00,831.83
2024-01-08 18:00:00,1031.55
2024-01-08 19:00:00,801.14
2024-01-08 20:00:00,410.2
2024-01-08 21:00:00,328.89
2024-01-08 22:00:00,336.02
2024-01-08 23:00:00,2.93
2024-01-09 00:00:00,200.56
2024-01-09 01:00:00,88.22
2024-01-09 02:00:00,186.47
2024-01-09 03:00:00,98.21
2024-01-09 04:00:00,390.77
2024-01-09 05:00:00,643.01
2024-01-09 06:00:00,770.76
2024-01-09 07:00:00,733.14
2024-01-09 08:00:00,435.62
2024-01-09 09:00:00,197.64
2024-01-09 10:00:00,53.88
2024-01-09 11:00:00,99.87
2024-01-09 12:00:00,224.58
2024-01-09 13:00:00,372.02
2024-01-09 14:00:00,368.14
2024-01-09 15:00:00,468.0
2024-01-09 16:00:00,780.49
2024-01-09 17:00:00,455.02
2024-01-09 18:00:00,226.2
2024-01-09 19:00:00,305.24
2024-01-09 20:00:00,529.36
2024-01-09 21:00:00,404.86
2024-01-09 22:00:00,305.01
2024-01-09 23:00:00,322.2
2024-01-10 00:00:00,777.07
2024-01-10 01:00:00,1057.04
2024-01-10 02:00:00,1071.24
2024-01-10 03:00:00,1019.61
2024-01-10 04:00:00,1195.94
2024-01-10 05:00:00,1118.7
2024-01-10 06:00:00,1369.14
2024-01-10 07:00:00,1326.41
2024-01-10 08:00:00,1083.55
2024-01-10 09:00:00,666.32
2024-01-10 10:00:00,173.69
2024-01-10 11:00:00,272.94
2024-01-10 12:00:00,372.53
2024-01-10 13:00:00,382.22
2024-01-10 14:00:00,431.75
2024-01-10 15:00:00,971.23
2024-01-10 16:00:00,1339.81
2024-01-10 17:00:00,918.33
2024-01-10 18:00:00,783.67
2024-01-10 19:00:00,838.38
2024-01-10 20:00:00,849.56
2024-01-10 21:00:00,564.07
2024-01-10 22:00:00,683.47
2024-01-10 23:00:00,533.65
2024-01-11 00:00:00,507.95
2024-01-11 01:00:00,860.9
2024-01-11 02:00:00,921.78
2024-01-11 03:00:00,1020.25
2024-01-11 04:00:00,1380.14
2024-01-11 05:00:00,1735.81
2024-01-11 06:00:00,2006.06
2024-01-11 07:00:00,1950.01
2024-01-11 08:00:00,1547.25
2024-01-11 09:00:00,880.14
2024-01-11 10:00:00,488.89
2024-01-11 11:00:00,614.6
2024-01-11 12:00:00,617.6
2024-01-11 13:00:00,784.16
2024-01-11 14:00:00,1079.41
2024-01-11 15:00:00,1158.3
2024-01-11 16:00:00,1224.56
2024-01-11 17:00:00,1093.75
2024-01-11 18:00:00,1013.8
2024-01-11 19:00:00,884.3
2024-01-11 20:00:00,821.45
2024-01-11 21:00:00,641.17
2024-01-11 22:00:00,694.37
2024-01-11 23:00:00,213.8
2024-01-12 00:00:00,557.69
2024-01-12 01:00:00,848.52
2024-01-12 02:00:00,900.89
2024-01-12 03:00:00,778.51
2024-01-12 04:00:00,1063.59
2024-01-12 05:00:00,1368.87
2024-01-12 06:00:00,1586.58
2024-01-12 07:00:00,1422.55
2024-01-12 08:00:00,952.47
2024-01-12 09:00:00,402.97
2024-01-12 10:00:00,180.87
2024-01-12 11:00:00,14.77
2024-01-12 12:00:00,170.66
2024-01-12 13:00:00,548.75
2024-01-12 14:00:00,711.65
2024-01-12 15:00:00,1031.51
2024-01-12 16:00:00,1043.56
2024-01-12 17:00:00,885.36
2024-01-12 18:00:00,762.1
2024-01-12 19:00:00,803.54
2024-01-12 20:00:00,941.94
2024-01-12 21:00:00,1003.12
2024-01-12 22:00:00,1051.22
2024-01-12 23:00:00,1143.2
2024-01-13 00:00:00,1091.59
2024-01-13 01:00:00,917.48
2024-01-13 02:00:00,1007.96
2024-01-13 03:00:00,1040.94
2024-01-13 04:00:00,1196.59
2024-01-13 05:00:00,1407.99
2024-01-13 06:00:00,1813.33
2024-01-13 07:00:00,1811.44
2024-01-13 08:00:00,1917.66
2024-01-13 09:00:00,1685.71
2024-01-13 10:00:00,1637.54
2024-01-13 11:00:00,1725.57
2024-01-13 12:00:00,1908.65
2024-01-13 13:00:00,2019.91
2024-01-13 14:00:00,1987.3
2024-01-13 15:00:00,2048.31
2024-01-13 16:00:00,2059.12
2024-01-13 17:00:00,1962.95
2024-01-13 18:00:00,1862.86
2024-01-13 19:00:00,1883.69
2024-01-13 20:00:00,1891.43
2024-01-13 21:00:00,1875.67
2024-01-13 22:00:00,1886.18
2024-01-13 23:00:00,1855.79
2024-01-14 00:00:00,1683.68
2024-01-14 01:00:00,1708.54
2024-01-14 02:00:00,1665.8
2024-01-14 03:00:00,1602.4
2024-01-14 04:00:00,1523.36
2024-01-14 05:00:00,1276.61
2024-01-14 06:00:00,1290.0
2024-01-14 07:00:00,1213.57
2024-01-14 08:00:00,1024.96
2024-01-14 09:00:00,822.86
2024-01-14 10:00:00,558.27
2024-01-14 11:00:00,433.53
2024-01-14 12:00:00,579.47
2024-01-14 13:00:00,879.76
2024-01-14 14:00:00,1358.97
2024-01-14 15:00:00,1636.88
2024-01-14 16:00:00,1877.37
2024-01-14 17:00:00,1793.15
2024-01-14 18:00:00,1589.69
2024-01-14 19:00:00,1896.67
2024-01-14 20:00:00,2101.03
2024-01-14 21:00:00,1947.59
2024-01-14 22:00:00,1882.59
2024-01-14 23:00:00,1857.55
2024-01-15 00:00:00,1804.69
2024-01-15 01:00:00,1998.49
2024-01-15 02:00:00,2038.03
