,MW
2024-01-01 01:00:00,1272.46
2024-01-01 02:00:00,1325.24
2024-01-01 03:00:00,1232.18
2024-01-01 04:00:00,1021.79
2024-01-01 05:00:00,1319.68
2024-01-01 06:00:00,1251.57
2024-01-01 07:00:00,1142.15
2024-01-01 08:00:00,1304.03
2024-01-01 09:00:00,1192.3899999999999
2024-01-01 10:00:00,1179.08
2024-01-01 11:00:00,1327.88
2024-01-01 12:00:00,1107.35
2024-01-01 13:00:00,1026.24
2024-01-01 14:00:00,930.05
2024-01-01 15:00:00,1497.29
2024-01-01 16:00:00,1728.67
2024-01-01 17:00:00,1028.99
2024-01-01 18:00:00,2039.52
2024-01-01 19:00:00,1254.77
2024-01-01 20:00:00,1827.36
2024-01-01 21:00:00,1380.59
2024-01-01 22:00:00,1046.53
2024-01-01 23:00:00,1045.69
2024-01-02 00:00:00,844.98
2024-01-02 01:00:00,756.25
2024-01-02 02:00:00,554.81
2024-01-02 03:00:00,572.42
2024-01-02 04:00:00,687.44
2024-01-02 05:00:00,831.87
2024-01-02 06:00:00,1212.88
2024-01-02 07:00:00,1157.3600000000001
2024-01-02 08:00:00,849.9200000000001
2024-01-02 09:00:00,1012.76
2024-01-02 10:00:00,1423.77
2024-01-02 11:00:00,1438.92
2024-01-02 12:00:00,2005.8899999999999
2024-01-02 13:00:00,1725.37
2024-01-02 14:00:00,1221.6399999999999
2024-01-02 15:00:00,810.83
2024-01-02 16:00:00,977.68
2024-01-02 17:00:00,692.45
2024-01-02 18:00:00,1278.54
2024-01-02 19:00:00,1004.58
2024-01-02 20:00:00,1191.3600000000001
2024-01-02 21:00:00,1239.65
2024-01-02 22:00:00,1404.94
2024-01-02 23:00:00,1422.99
2024-01-03 00:00:00,1144.44
2024-01-03 01:00:00,1317.53
2024-01-03 02:00:00,1204.72
2024-01-03 03:00:00,1239.98
2024-01-03 04:00:00,1383.38
2024-01-03 05:00:00,1480.48
2024-01-03 06:00:00,1478.92
2024-01-03 07:00:00,1431.86
2024-01-03 08:00:00,1158.19
2024-01-03 09:00:00,1354.2
2024-01-03 10:00:00,1188.8899999999999
2024-01-03 11:00:00,1097.1200000000001
2024-01-03 12:00:00,929.31
2024-01-03 13:00:00,911.0
2024-01-03 14:00:00,1286.42
2024-01-03 15:00:00,1233.09
2024-01-03 16:00:00,1421.84
2024-01-03 17:00:00,1792.47
2024-01-03 18:00:00,1662.69
2024-01-03 19:00:00,714.72
2024-01-03 20:00:00,1617.74
2024-01-03 21:00:00,2089.96
2024-01-03 22:00:00,2095.45
2024-01-03 23:00:00,1808.88
2024-01-04 00:00:00,1518.25
2024-01-04 01:00:00,1758.4099999999999
2024-01-04 02:00:00,2116.93
2024-01-04 03:00:00,2072.74
2024-01-04 04:00:00,2163.49
2024-01-04 05:00:00,2418.31
2024-01-04 06:00:00,2696.04
2024-01-04 07:00:00,2097.17
2024-01-04 08:00:00,2024.25
2024-01-04 09:00:00,1906.69
2024-01-04 10:00:00,2070.07
2024-01-04 11:00:00,2247.91
2024-01-04 12:00:00,1889.17
2024-01-04 13:00:00,1426.25
2024-01-04 14:00:00,1686.35
2024-01-04 15:00:00,1593.31
2024-01-04 16:00:00,1776.07
2024-01-04 17:00:00,643.14
2024-01-04 18:00:00,790.06
2024-01-04 19:00:00,62.64
2024-01-04 20:00:00,251.75
2024-01-04 21:00:00,0.0
2024-01-04 22:00:00,33.85
2024-01-04 23:00:00,543.1800000000001
2024-01-05 00:00:00,22.21
2024-01-05 01:00:00,242.57999999999998
2024-01-05 02:00:00,560.44
2024-01-05 03:00:00,696.55
2024-01-05 04:00:00,847.51
2024-01-05 05:00:00,949.35
2024-01-05 06:00:00,934.01
2024-01-05 07:00:00,663.4
2024-01-05 08:00:00,674.77
2024-01-05 09:00:00,825.42
2024-01-05 10:00:00,1009.0799999999999
2024-01-05 11:00:00,1472.94
2024-01-05 12:00:00,1051.24
2024-01-05 13:00:00,949.96
2024-01-05 14:00:00,913.53
2024-01-05 15:00:00,1289.29
2024-01-05 16:00:00,1837.3
2024-01-05 17:00:00,1853.04
2024-01-05 18:00:00,1965.25
2024-01-05 19:00:00,1734.11
2024-01-05 20:00:00,1485.5
2024-01-05 21:00:00,959.79
2024-01-05 22:00:00,1361.75
2024-01-05 23:00:00,1658.06
2024-01-06 00:00:00,1759.72
2024-01-06 01:00:00,2838.88
2024-01-06 02:00:00,2742.98
2024-01-06 03:00:00,1977.75
2024-01-06 04:00:00,1667.77
2024-01-06 05:00:00,1498.58
2024-01-06 06:00:00,2222.55
2024-01-06 07:00:00,1617.76
2024-01-06 08:00:00,2047.31
2024-01-06 09:00:00,1093.95
2024-01-06 10:00:00,874.27
2024-01-06 11:00:00,1311.08
2024-01-06 12:00:00,1216.54
2024-01-06 13:00:00,1617.5
