,MW
2024-01-01 01:00:00,1727.87
2024-01-01 02:00:00,1607.81
2024-01-01 03:00:00,1469.14
2024-01-01 04:00:00,1458.66
2024-01-01 05:00:00,1498.34
2024-01-01 06:00:00,1603.94
2024-01-01 07:00:00,1785.94
2024-01-01 08:00:00,1682.68
2024-01-01 09:00:00,1223.19
2024-01-01 10:00:00,1232.67
2024-01-01 11:00:00,1394.31
2024-01-01 12:00:00,1185.67
2024-01-01 13:00:00,1470.43
2024-01-01 14:00:00,1836.48
2024-01-01 15:00:00,1428.8
2024-01-01 16:00:00,1504.6
2024-01-01 17:00:00,1657.53
2024-01-01 18:00:00,1629.62
2024-01-01 19:00:00,1736.3
2024-01-01 20:00:00,1641.89
2024-01-01 21:00:00,1661.15
2024-01-01 22:00:00,1365.09
2024-01-01 23:00:00,804.37
2024-01-02 00:00:00,964.49
2024-01-02 01:00:00,1003.69
2024-01-02 02:00:00,953.76
2024-01-02 03:00:00,1129.51
2024-01-02 04:00:00,1440.96
2024-01-02 05:00:00,1909.91
2024-01-02 06:00:00,1826.28
2024-01-02 07:00:00,1919.4
2024-01-02 08:00:00,1611.49
2024-01-02 09:00:00,1486.18
2024-01-02 10:00:00,1642.82
2024-01-02 11:00:00,1598.86
2024-01-02 12:00:00,1489.29
2024-01-02 13:00:00,1563.14
2024-01-02 14:00:00,1747.75
2024-01-02 15:00:00,1764.84
2024-01-02 16:00:00,1922.58
2024-01-02 17:00:00,1974.73
2024-01-02 18:00:00,1892.4
2024-01-02 19:00:00,1715.91
2024-01-02 20:00:00,1737.16
2024-01-02 21:00:00,1772.5
2024-01-02 22:00:00,1629.6
2024-01-02 23:00:00,1752.87
2024-01-03 00:00:00,1678.66
2024-01-03 01:00:00,1656.02
2024-01-03 02:00:00,1622.25
2024-01-03 03:00:00,1695.26
2024-01-03 04:00:00,1755.16
2024-01-03 05:00:00,1665.69
2024-01-03 06:00:00,1794.86
2024-01-03 07:00:00,1898.64
2024-01-03 08:00:00,1932.15
2024-01-03 09:00:00,1739.12
2024-01-03 10:00:00,1704.12
2024-01-03 11:00:00,1550.65
2024-01-03 12:00:00,1586.32
2024-01-03 13:00:00,1663.12
2024-01-03 14:00:00,1472.94
2024-01-03 15:00:00,1427.54
2024-01-03 16:00:00,1649.8
2024-01-03 17:00:00,1685.17
2024-01-03 18:00:00,1804.75
2024-01-03 19:00:00,1727.91
2024-01-03 20:00:00,1877.04
2024-01-03 21:00:00,1410.94
2024-01-03 22:00:00,1419.37
2024-01-03 23:00:00,1412.51
2024-01-04 00:00:00,1550.43
2024-01-04 01:00:00,1566.5
2024-01-04 02:00:00,1512.06
2024-01-04 03:00:00,1473.69
2024-01-04 04:00:00,1528.64
2024-01-04 05:00:00,1540.65
2024-01-04 06:00:00,1585.27
2024-01-04 07:00:00,1630.97
2024-01-04 08:00:00,1446.36
2024-01-04 09:00:00,1117.38
2024-01-04 10:00:00,842.03
2024-01-04 11:00:00,471.1
2024-01-04 12:00:00,1380.23
2024-01-04 13:00:00,1575.57
2024-01-04 14:00:00,1633.74
2024-01-04 15:00:00,1512.62
2024-01-04 16:00:00,788.14
2024-01-04 17:00:00,19.31
2024-01-04 18:00:00,0.21
2024-01-04 19:00:00,218.59
2024-01-04 20:00:00,564.69
2024-01-04 21:00:00,394.76
2024-01-04 22:00:00,694.59
2024-01-04 23:00:00,833.39
2024-01-05 00:00:00,1160.57
2024-01-05 01:00:00,1186.96
2024-01-05 02:00:00,1167.08
2024-01-05 03:00:00,1234.44
2024-01-05 04:00:00,909.49
2024-01-05 05:00:00,1409.29
2024-01-05 06:00:00,1704.38
2024-01-05 07:00:00,1788.99
2024-01-05 08:00:00,1713.26
2024-01-05 09:00:00,1477.94
2024-01-05 10:00:00,1358.18
2024-01-05 11:00:00,1225.0
2024-01-05 12:00:00,1327.78
2024-01-05 13:00:00,1500.49
2024-01-05 14:00:00,1738.03
2024-01-05 15:00:00,1819.55
2024-01-05 16:00:00,1630.99
2024-01-05 17:00:00,1503.63
2024-01-05 18:00:00,1489.77
2024-01-05 19:00:00,1473.53
2024-01-05 20:00:00,1573.24
2024-01-05 21:00:00,1601.39
2024-01-05 22:00:00,1616.47
2024-01-05 23:00:00,1579.31
2024-01-06 00:00:00,1677.48
2024-01-06 01:00:00,1228.41
2024-01-06 02:00:00,774.92
2024-01-06 03:00:00,681.17
2024-01-06 04:00:00,763.43
2024-01-06 05:00:00,683.8
2024-01-06 06:00:00,667.55
2024-01-06 07:00:00,661.87
2024-01-06 08:00:00,874.01
2024-01-06 09:00:00,1249.64
2024-01-06 10:00:00,862.97
2024-01-06 11:00:00,833.88
2024-01-06 12:00:00,911.3
2024-01-06 13:00:00,1233.87
2024-01-06 14:00:00,1456.66
2024-01-06 15:00:00,1186.19
2024-01-06 16:00:00,1124.09
2024-01-06 17:00:00,474.09
2024-01-06 18:00:00,259.23
2024-01-06 19:00:00,394.72
2024-01-06 20:00:00,929.61
2024-01-06 21:00:00,982.08
2024-01-06 22:00:00,860.28
2024-01-06 23:00:00,389.81
2024-01-07 00:00:00,269.6
2024-01-07 01:00:00,277.77
2024-01-07 02:00:00,278.09
2024-01-07 03:00:00,245.18
2024-01-07 04:00:00,220.15
2024-01-07 05:00:00,257.96
2024-01-07 06:00:00,377.34
2024-01-07 07:00:00,341.65
2024-01-07 08:00:00,284.61
2024-01-07 09:00:00,295.79
2024-01-07 10:00:00,274.74
2024-01-07 11:00:00,273.48
2024-01-07 12:00:00,255.38
2024-01-07 13:00:00,259.77
2024-01-07 14:00:00,335.19
2024-01-07 15:00:00,480.79
2024-01-07 16:00:00,525.09
2024-01-07 17:00:00,508.85
2024-01-07 18:00:00,423.79
2024-01-07 19:00:00,446.02
2024-01-07 20:00:00,893.29
2024-01-07 21:00:00,952.13
2024-01-07 22:00:00,688.63
2024-01-07 23:00:00,429.02
2024-01-08 00:00:00,411.84
2024-01-08 01:00:00,483.95
2024-01-08 02:00:00,489.29
2024-01-08 03:00:00,484.42
2024-01-08 04:00:00,498.24
2024-01-08 05:00:00,822.82
2024-01-08 06:00:00,1436.22
2024-01-08 07:00:00,1671.18
2024-01-08 08:00:00,1908.64
2024-01-08 09:00:00,1609.36
2024-01-08 10:00:00,1437.14
2024-01-08 11:00:00,1599.99
2024-01-08 12:00:00,1474.6
2024-01-08 13:00:00,1613.66
2024-01-08 14:00:00,1826.68
2024-01-08 15:00:00,1852.97
2024-01-08 16:00:00,1589.77
2024-01-08 17:00:00,1413.63
2024-01-08 18:00:00,1860.22
2024-01-08 19:00:00,1612.71
2024-01-08 20:00:00,1456.56
2024-01-08 21:00:00,1296.01
2024-01-08 22:00:00,1434.13
2024-01-08 23:00:00,800.0
2024-01-09 00:00:00,1555.3
2024-01-09 01:00:00,1333.34
2024-01-09 02:00:00,1424.09
2024-01-09 03:00:00,1449.82
2024-01-09 04:00:00,1573.65
2024-01-09 05:00:00,1544.09
2024-01-09 06:00:00,1447.53
