;simulated;real;error
2017-01-01 00:00:00;23.9433719433719;20.96;2.9833719433718997
2017-01-01 01:00:00;23.9433719433719;20.9;3.043371943371902
2017-01-01 02:00:00;23.9433719433719;18.13;5.8133719433719016
2017-01-01 03:00:00;23.9433719433719;16.03;7.913371943371899
2017-01-01 04:00:00;23.9433719433719;16.43;7.513371943371901
2017-01-01 05:00:00;23.9433719433719;13.75;10.1933719433719
2017-01-01 06:00:00;23.9433719433719;11.1;12.843371943371901
2017-01-01 07:00:00;23.9433719433719;15.47;8.4733719433719
2017-01-01 08:00:00;23.9433719433719;16.88;7.0633719433719016
2017-01-01 09:00:00;23.9433719433719;21.81;2.133371943371902
2017-01-01 10:00:00;23.9433719433719;26.24;-2.296628056628098
2017-01-01 11:00:00;23.9433719433719;26.42;-2.476628056628101
2017-01-01 12:00:00;23.9433719433719;27.66;-3.7166280566280996
2017-01-01 13:00:00;23.9433719433719;28.7;-4.756628056628099
2017-01-01 14:00:00;25.79684733054601;29.66;-3.8631526694539886
2017-01-01 15:00:00;30.65944629353209;35.33;-4.67055370646791
2017-01-01 16:00:00;32.54758885138167;44.12;-11.572411148618329
2017-01-01 17:00:00;32.45681297222971;51.59;-19.13318702777029
2017-01-01 18:00:00;32.45734379955845;53.95;-21.49265620044155
2017-01-01 19:00:00;32.54428494200092;50.97;-18.425715057999078
2017-01-01 20:00:00;32.543183638874005;44.93;-12.386816361125994
2017-01-01 21:00:00;32.458936281544666;38.83;-6.371063718455332
2017-01-01 22:00:00;31.16249146898169;42.17;-11.007508531018313
2017-01-01 23:00:00;28.32073528634954;33.06;-4.7392647136504635
2017-01-02 00:00:00;25.786323815296782;30.54;-4.753676184703217
2017-01-02 01:00:00;25.785271463771867;28.91;-3.124728536228133
2017-01-02 02:00:00;25.784219112246948;28.11;-2.3257808877530515
2017-01-02 03:00:00;25.78316676072203;27.89;-2.1068332392779716
2017-01-02 04:00:00;25.782114409197103;27.73;-1.9478855908028976
2017-01-02 05:00:00;26.27314930233952;31.18;-4.906850697660481
2017-01-02 06:00:00;32.119139899580745;37.99;-5.870860100419257
2017-01-02 07:00:00;39.42543989955031;50.98;-11.554560100449685
