,Hydro Run-of-river and pondage
2020-01-01 01:00:00,1324.17
2020-01-01 02:00:00,1319.13
2020-01-01 03:00:00,1311.7875
2020-01-01 04:00:00,1307.185
2020-01-01 05:00:00,1307.3125
2020-01-01 06:00:00,1307.04
2020-01-01 07:00:00,1313.4025000000001
2020-01-01 08:00:00,1316.5
2020-01-01 09:00:00,1323.1499999999999
2020-01-01 10:00:00,1327.3675
2020-01-01 11:00:00,1332.7475
2020-01-01 12:00:00,1342.28
2020-01-01 13:00:00,1351.0725
2020-01-01 14:00:00,1346.6399999999999
2020-01-01 15:00:00,1347.0125
2020-01-01 16:00:00,1342.88
2020-01-01 17:00:00,1338.06
2020-01-01 18:00:00,1332.585
2020-01-01 19:00:00,1317.745
2020-01-01 20:00:00,1313.15
2020-01-01 21:00:00,1317.1425
2020-01-01 22:00:00,1315.2350000000001
2020-01-01 23:00:00,1308.3675
2020-01-02 00:00:00,1305.4375
2020-01-02 01:00:00,1307.4225
2020-01-02 02:00:00,1315.3375
2020-01-02 03:00:00,1301.3899999999999
2020-01-02 04:00:00,1299.29
2020-01-02 05:00:00,1297.5375
2020-01-02 06:00:00,1295.2975000000001
2020-01-02 07:00:00,1295.02
2020-01-02 08:00:00,1293.295
2020-01-02 09:00:00,1293.5575
2020-01-02 10:00:00,1301.0
2020-01-02 11:00:00,1301.2875
2020-01-02 12:00:00,1289.6775
2020-01-02 13:00:00,1297.1275
2020-01-02 14:00:00,1291.03
2020-01-02 15:00:00,1291.6825
2020-01-02 16:00:00,1301.1175
2020-01-02 17:00:00,1299.2425
2020-01-02 18:00:00,1297.47
2020-01-02 19:00:00,1295.975
2020-01-02 20:00:00,1293.4
2020-01-02 21:00:00,1284.8374999999999
2020-01-02 22:00:00,1284.225
2020-01-02 23:00:00,1286.7150000000001
2020-01-03 00:00:00,1312.195
2020-01-03 01:00:00,1326.97
2020-01-03 02:00:00,1326.5149999999999
2020-01-03 03:00:00,1327.19
2020-01-03 04:00:00,1331.2475
2020-01-03 05:00:00,1329.505
2020-01-03 06:00:00,1328.67
2020-01-03 07:00:00,1333.7350000000001
2020-01-03 08:00:00,1332.275
2020-01-03 09:00:00,1329.5675
2020-01-03 10:00:00,1323.165
2020-01-03 11:00:00,1333.8500000000001
2020-01-03 12:00:00,1336.0725
2020-01-03 13:00:00,1340.73
2020-01-03 14:00:00,1346.3975
2020-01-03 15:00:00,1357.0275
2020-01-03 16:00:00,1359.8625
2020-01-03 17:00:00,1354.3075000000001
2020-01-03 18:00:00,1341.7675
2020-01-03 19:00:00,1330.385
2020-01-03 20:00:00,1334.0425
2020-01-03 21:00:00,1341.395
2020-01-03 22:00:00,1339.42
2020-01-03 23:00:00,1337.3600000000001
2020-01-04 00:00:00,1381.745
2020-01-04 01:00:00,1387.9775
2020-01-04 02:00:00,1390.7525
2020-01-04 03:00:00,1380.57
2020-01-04 04:00:00,1380.24
2020-01-04 05:00:00,1378.1625
2020-01-04 06:00:00,1362.4650000000001
2020-01-04 07:00:00,1352.2125
2020-01-04 08:00:00,1353.055
2020-01-04 09:00:00,1338.595
2020-01-04 10:00:00,1341.3725
2020-01-04 11:00:00,1342.1100000000001
2020-01-04 12:00:00,1350.4625
2020-01-04 13:00:00,1347.2075
2020-01-04 14:00:00,1353.5825
2020-01-04 15:00:00,1364.4825
2020-01-04 16:00:00,1370.645
2020-01-04 17:00:00,1366.615
2020-01-04 18:00:00,1371.5625
2020-01-04 19:00:00,1384.02
2020-01-04 20:00:00,1394.8975
2020-01-04 21:00:00,1402.835
2020-01-04 22:00:00,1385.5774999999999
2020-01-04 23:00:00,1373.0375
2020-01-05 00:00:00,1370.19
2020-01-05 01:00:00,1369.7425
2020-01-05 02:00:00,1369.3175
2020-01-05 03:00:00,1359.16
2020-01-05 04:00:00,1352.4925
2020-01-05 05:00:00,1342.7325
2020-01-05 06:00:00,1336.6599999999999
2020-01-05 07:00:00,1329.1925
2020-01-05 08:00:00,1321.0124999999998
