,electricity
1/1/2009 0:00,0
1/1/2009 1:00,0
1/1/2009 2:00,0
1/1/2009 3:00,0
1/1/2009 4:00,0
1/1/2009 5:00,0
1/1/2009 6:00,0
1/1/2009 7:00,0
1/1/2009 8:00,0.038
1/1/2009 9:00,0.075
1/1/2009 10:00,0.091
1/1/2009 11:00,0.082
1/1/2009 12:00,0.055
1/1/2009 13:00,0.023
1/1/2009 14:00,0
1/1/2009 15:00,0
1/1/2009 16:00,0
1/1/2009 17:00,0
1/1/2009 18:00,0
1/1/2009 19:00,0
1/1/2009 20:00,0
1/1/2009 21:00,0
1/1/2009 22:00,0
1/1/2009 23:00,0
1/2/2009 0:00,0
1/2/2009 1:00,0
1/2/2009 2:00,0
1/2/2009 3:00,0
1/2/2009 4:00,0
1/2/2009 5:00,0
1/2/2009 6:00,0
1/2/2009 7:00,0
1/2/2009 8:00,0.051
1/2/2009 9:00,0.158
1/2/2009 10:00,0.262
1/2/2009 11:00,0.393
1/2/2009 12:00,0.394
1/2/2009 13:00,0.269
1/2/2009 14:00,0.069
1/2/2009 15:00,0
1/2/2009 16:00,0
1/2/2009 17:00,0
1/2/2009 18:00,0
1/2/2009 19:00,0
1/2/2009 20:00,0
1/2/2009 21:00,0
1/2/2009 22:00,0
1/2/2009 23:00,0
1/3/2009 0:00,0
1/3/2009 1:00,0
1/3/2009 2:00,0
1/3/2009 3:00,0
1/3/2009 4:00,0
1/3/2009 5:00,0
1/3/2009 6:00,0
1/3/2009 7:00,0.021
1/3/2009 8:00,0.146
1/3/2009 9:00,0.174
1/3/2009 10:00,0.148
1/3/2009 11:00,0.155
1/3/2009 12:00,0.144
1/3/2009 13:00,0.054
1/3/2009 14:00,0.006
1/3/2009 15:00,0
1/3/2009 16:00,0
1/3/2009 17:00,0
1/3/2009 18:00,0
1/3/2009 19:00,0
1/3/2009 20:00,0
1/3/2009 21:00,0
1/3/2009 22:00,0
1/3/2009 23:00,0
1/4/2009 0:00,0
1/4/2009 1:00,0
1/4/2009 2:00,0
1/4/2009 3:00,0
1/4/2009 4:00,0
1/4/2009 5:00,0
1/4/2009 6:00,0
1/4/2009 7:00,0
1/4/2009 8:00,0
1/4/2009 9:00,0.008
1/4/2009 10:00,0.022
1/4/2009 11:00,0.024
1/4/2009 12:00,0.016
1/4/2009 13:00,0.004
1/4/2009 14:00,0
1/4/2009 15:00,0
1/4/2009 16:00,0
1/4/2009 17:00,0
1/4/2009 18:00,0
1/4/2009 19:00,0
1/4/2009 20:00,0
1/4/2009 21:00,0
1/4/2009 22:00,0
1/4/2009 23:00,0
1/5/2009 0:00,0
1/5/2009 1:00,0
1/5/2009 2:00,0
1/5/2009 3:00,0
1/5/2009 4:00,0
1/5/2009 5:00,0
1/5/2009 6:00,0
1/5/2009 7:00,0.007
1/5/2009 8:00,0.12
1/5/2009 9:00,0.294
1/5/2009 10:00,0.513
1/5/2009 11:00,0.538
1/5/2009 12:00,0.474
1/5/2009 13:00,0.321
1/5/2009 14:00,0.095
1/5/2009 15:00,0
1/5/2009 16:00,0
1/5/2009 17:00,0
1/5/2009 18:00,0
1/5/2009 19:00,0
1/5/2009 20:00,0
1/5/2009 21:00,0
1/5/2009 22:00,0
1/5/2009 23:00,0
1/6/2009 0:00,0
1/6/2009 1:00,0
1/6/2009 2:00,0
1/6/2009 3:00,0
1/6/2009 4:00,0
1/6/2009 5:00,0
1/6/2009 6:00,0
1/6/2009 7:00,0.049
1/6/2009 8:00,0.31
1/6/2009 9:00,0.487
1/6/2009 10:00,0.571
1/6/2009 11:00,0.572
1/6/2009 12:00,0.499
1/6/2009 13:00,0.331
1/6/2009 14:00,0.085
1/6/2009 15:00,0
1/6/2009 16:00,0
1/6/2009 17:00,0
1/6/2009 18:00,0
1/6/2009 19:00,0
1/6/2009 20:00,0
1/6/2009 21:00,0
1/6/2009 22:00,0
1/6/2009 23:00,0
1/7/2009 0:00,0
1/7/2009 1:00,0
1/7/2009 2:00,0
1/7/2009 3:00,0
1/7/2009 4:00,0
1/7/2009 5:00,0
1/7/2009 6:00,0
1/7/2009 7:00,0
1/7/2009 8:00,0.021
1/7/2009 9:00,0.06
1/7/2009 10:00,0.101
1/7/2009 11:00,0.137
1/7/2009 12:00,0.112
1/7/2009 13:00,0.053
1/7/2009 14:00,0.004
1/7/2009 15:00,0
1/7/2009 16:00,0
1/7/2009 17:00,0
1/7/2009 18:00,0
1/7/2009 19:00,0
1/7/2009 20:00,0
1/7/2009 21:00,0
1/7/2009 22:00,0
1/7/2009 23:00,0
1/8/2009 0:00,0
1/8/2009 1:00,0
1/8/2009 2:00,0
1/8/2009 3:00,0
1/8/2009 4:00,0
1/8/2009 5:00,0
1/8/2009 6:00,0
1/8/2009 7:00,0.007
1/8/2009 8:00,0.107
1/8/2009 9:00,0.275
1/8/2009 10:00,0.504
1/8/2009 11:00,0.511
1/8/2009 12:00,0.447
1/8/2009 13:00,0.293
1/8/2009 14:00,0.071
1/8/2009 15:00,0
1/8/2009 16:00,0
1/8/2009 17:00,0
1/8/2009 18:00,0
1/8/2009 19:00,0
1/8/2009 20:00,0
1/8/2009 21:00,0
1/8/2009 22:00,0
1/8/2009 23:00,0
1/9/2009 0:00,0
1/9/2009 1:00,0
1/9/2009 2:00,0
1/9/2009 3:00,0
1/9/2009 4:00,0
1/9/2009 5:00,0
1/9/2009 6:00,0
1/9/2009 7:00,0.008
1/9/2009 8:00,0.079
1/9/2009 9:00,0.134
1/9/2009 10:00,0.199
1/9/2009 11:00,0.286
1/9/2009 12:00,0.273
1/9/2009 13:00,0.137
1/9/2009 14:00,0.023
1/9/2009 15:00,0
1/9/2009 16:00,0
1/9/2009 17:00,0
1/9/2009 18:00,0
1/9/2009 19:00,0
1/9/2009 20:00,0
1/9/2009 21:00,0
1/9/2009 22:00,0
1/9/2009 23:00,0
1/10/2009 0:00,0
1/10/2009 1:00,0
1/10/2009 2:00,0
1/10/2009 3:00,0
1/10/2009 4:00,0
1/10/2009 5:00,0
1/10/2009 6:00,0
1/10/2009 7:00,0
1/10/2009 8:00,0.041
1/10/2009 9:00,0.122
1/10/2009 10:00,0.188
1/10/2009 11:00,0.215
1/10/2009 12:00,0.183
1/10/2009 13:00,0.118
1/10/2009 14:00,0.031
1/10/2009 15:00,0
1/10/2009 16:00,0
1/10/2009 17:00,0
1/10/2009 18:00,0
1/10/2009 19:00,0
1/10/2009 20:00,0
1/10/2009 21:00,0
1/10/2009 22:00,0
1/10/2009 23:00,0
1/11/2009 0:00,0
1/11/2009 1:00,0
1/11/2009 2:00,0
1/11/2009 3:00,0
1/11/2009 4:00,0
1/11/2009 5:00,0
1/11/2009 6:00,0
1/11/2009 7:00,0.04
1/11/2009 8:00,0.289
1/11/2009 9:00,0.472
1/11/2009 10:00,0.548
1/11/2009 11:00,0.548
1/11/2009 12:00,0.471
1/11/2009 13:00,0.309
1/11/2009 14:00,0.08
1/11/2009 15:00,0
1/11/2009 16:00,0
1/11/2009 17:00,0
1/11/2009 18:00,0
1/11/2009 19:00,0
1/11/2009 20:00,0
1/11/2009 21:00,0
1/11/2009 22:00,0
1/11/2009 23:00,0
1/12/2009 0:00,0
1/12/2009 1:00,0
1/12/2009 2:00,0
1/12/2009 3:00,0
1/12/2009 4:00,0
1/12/2009 5:00,0
1/12/2009 6:00,0
1/12/2009 7:00,0.083
1/12/2009 8:00,0.345
1/12/2009 9:00,0.507
1/12/2009 10:00,0.581
1/12/2009 11:00,0.58
1/12/2009 12:00,0.507
1/12/2009 13:00,0.35
1/12/2009 14:00,0.106
1/12/2009 15:00,0
1/12/2009 16:00,0
1/12/2009 17:00,0
1/12/2009 18:00,0
1/12/2009 19:00,0
1/12/2009 20:00,0
1/12/2009 21:00,0
1/12/2009 22:00,0
1/12/2009 23:00,0
1/13/2009 0:00,0
1/13/2009 1:00,0
1/13/2009 2:00,0
1/13/2009 3:00,0
1/13/2009 4:00,0
1/13/2009 5:00,0
1/13/2009 6:00,0
1/13/2009 7:00,0.027
1/13/2009 8:00,0.14
1/13/2009 9:00,0.192
1/13/2009 10:00,0.192
1/13/2009 11:00,0.171
1/13/2009 12:00,0.143
1/13/2009 13:00,0.095
1/13/2009 14:00,0.022
1/13/2009 15:00,0
1/13/2009 16:00,0
1/13/2009 17:00,0
1/13/2009 18:00,0
1/13/2009 19:00,0
1/13/2009 20:00,0
1/13/2009 21:00,0
1/13/2009 22:00,0
1/13/2009 23:00,0
1/14/2009 0:00,0
1/14/2009 1:00,0
1/14/2009 2:00,0
1/14/2009 3:00,0
1/14/2009 4:00,0
1/14/2009 5:00,0
1/14/2009 6:00,0
1/14/2009 7:00,0.019
1/14/2009 8:00,0.154
1/14/2009 9:00,0.386
1/14/2009 10:00,0.497
1/14/2009 11:00,0.476
1/14/2009 12:00,0.363
1/14/2009 13:00,0.191
1/14/2009 14:00,0.044
1/14/2009 15:00,0
1/14/2009 16:00,0
1/14/2009 17:00,0
1/14/2009 18:00,0
1/14/2009 19:00,0
1/14/2009 20:00,0
1/14/2009 21:00,0
1/14/2009 22:00,0
1/14/2009 23:00,0
1/15/2009 0:00,0
1/15/2009 1:00,0
1/15/2009 2:00,0
1/15/2009 3:00,0
1/15/2009 4:00,0
1/15/2009 5:00,0
1/15/2009 6:00,0
1/15/2009 7:00,0
1/15/2009 8:00,0.033
1/15/2009 9:00,0.102
1/15/2009 10:00,0.133
1/15/2009 11:00,0.127
1/15/2009 12:00,0.09
1/15/2009 13:00,0.058
1/15/2009 14:00,0.008
1/15/2009 15:00,0
1/15/2009 16:00,0
1/15/2009 17:00,0
1/15/2009 18:00,0
1/15/2009 19:00,0
1/15/2009 20:00,0
1/15/2009 21:00,0
1/15/2009 22:00,0
1/15/2009 23:00,0
1/16/2009 0:00,0
1/16/2009 1:00,0
1/16/2009 2:00,0
1/16/2009 3:00,0
1/16/2009 4:00,0
1/16/2009 5:00,0
1/16/2009 6:00,0
1/16/2009 7:00,0.013
1/16/2009 8:00,0.102
1/16/2009 9:00,0.203
1/16/2009 10:00,0.264
1/16/2009 11:00,0.319
1/16/2009 12:00,0.278
1/16/2009 13:00,0.16
1/16/2009 14:00,0.028
1/16/2009 15:00,0
1/16/2009 16:00,0
1/16/2009 17:00,0
1/16/2009 18:00,0
1/16/2009 19:00,0
1/16/2009 20:00,0
1/16/2009 21:00,0
1/16/2009 22:00,0
1/16/2009 23:00,0
1/17/2009 0:00,0
1/17/2009 1:00,0
1/17/2009 2:00,0
1/17/2009 3:00,0
1/17/2009 4:00,0
1/17/2009 5:00,0
1/17/2009 6:00,0
1/17/2009 7:00,0.014
1/17/2009 8:00,0.135
1/17/2009 9:00,0.29
1/17/2009 10:00,0.327
1/17/2009 11:00,0.31
1/17/2009 12:00,0.301
1/17/2009 13:00,0.208
1/17/2009 14:00,0.049
1/17/2009 15:00,0
1/17/2009 16:00,0
1/17/2009 17:00,0
1/17/2009 18:00,0
1/17/2009 19:00,0
1/17/2009 20:00,0
1/17/2009 21:00,0
1/17/2009 22:00,0
1/17/2009 23:00,0
1/18/2009 0:00,0
1/18/2009 1:00,0
1/18/2009 2:00,0
1/18/2009 3:00,0
1/18/2009 4:00,0
1/18/2009 5:00,0
1/18/2009 6:00,0
1/18/2009 7:00,0.001
1/18/2009 8:00,0.049
1/18/2009 9:00,0.067
1/18/2009 10:00,0.078
1/18/2009 11:00,0.165
1/18/2009 12:00,0.172
1/18/2009 13:00,0.059
1/18/2009 14:00,0.004
1/18/2009 15:00,0
1/18/2009 16:00,0
1/18/2009 17:00,0
1/18/2009 18:00,0
1/18/2009 19:00,0
1/18/2009 20:00,0
1/18/2009 21:00,0
1/18/2009 22:00,0
1/18/2009 23:00,0
1/19/2009 0:00,0
1/19/2009 1:00,0
1/19/2009 2:00,0
1/19/2009 3:00,0
1/19/2009 4:00,0
1/19/2009 5:00,0
1/19/2009 6:00,0
1/19/2009 7:00,0.054
1/19/2009 8:00,0.234
1/19/2009 9:00,0.451
1/19/2009 10:00,0.523
1/19/2009 11:00,0.42
1/19/2009 12:00,0.165
1/19/2009 13:00,0.056
1/19/2009 14:00,0.004
1/19/2009 15:00,0
1/19/2009 16:00,0
1/19/2009 17:00,0
1/19/2009 18:00,0
1/19/2009 19:00,0
1/19/2009 20:00,0
1/19/2009 21:00,0
1/19/2009 22:00,0
1/19/2009 23:00,0
1/20/2009 0:00,0
1/20/2009 1:00,0
1/20/2009 2:00,0
1/20/2009 3:00,0
1/20/2009 4:00,0
1/20/2009 5:00,0
1/20/2009 6:00,0
1/20/2009 7:00,0
1/20/2009 8:00,0.017
1/20/2009 9:00,0.047
1/20/2009 10:00,0.066
1/20/2009 11:00,0.069
1/20/2009 12:00,0.079
1/20/2009 13:00,0.118
1/20/2009 14:00,0.065
1/20/2009 15:00,0
1/20/2009 16:00,0
1/20/2009 17:00,0
1/20/2009 18:00,0
1/20/2009 19:00,0
1/20/2009 20:00,0
1/20/2009 21:00,0
1/20/2009 22:00,0
1/20/2009 23:00,0
1/21/2009 0:00,0
1/21/2009 1:00,0
1/21/2009 2:00,0
1/21/2009 3:00,0
1/21/2009 4:00,0
1/21/2009 5:00,0
1/21/2009 6:00,0
1/21/2009 7:00,0.003
1/21/2009 8:00,0.041
1/21/2009 9:00,0.087
1/21/2009 10:00,0.141
1/21/2009 11:00,0.151
1/21/2009 12:00,0.07
1/21/2009 13:00,0.034
1/21/2009 14:00,0.004
1/21/2009 15:00,0
1/21/2009 16:00,0
1/21/2009 17:00,0
1/21/2009 18:00,0
1/21/2009 19:00,0
1/21/2009 20:00,0
1/21/2009 21:00,0
1/21/2009 22:00,0
1/21/2009 23:00,0
1/22/2009 0:00,0
1/22/2009 1:00,0
1/22/2009 2:00,0
1/22/2009 3:00,0
1/22/2009 4:00,0
1/22/2009 5:00,0
1/22/2009 6:00,0
1/22/2009 7:00,0.013
1/22/2009 8:00,0.085
1/22/2009 9:00,0.193
1/22/2009 10:00,0.273
1/22/2009 11:00,0.334
1/22/2009 12:00,0.39
1/22/2009 13:00,0.301
1/22/2009 14:00,0.104
1/22/2009 15:00,0
1/22/2009 16:00,0
1/22/2009 17:00,0
1/22/2009 18:00,0
1/22/2009 19:00,0
1/22/2009 20:00,0
1/22/2009 21:00,0
1/22/2009 22:00,0
1/22/2009 23:00,0
1/23/2009 0:00,0
1/23/2009 1:00,0
1/23/2009 2:00,0
1/23/2009 3:00,0
1/23/2009 4:00,0
1/23/2009 5:00,0
1/23/2009 6:00,0
1/23/2009 7:00,0.048
1/23/2009 8:00,0.18
1/23/2009 9:00,0.351
1/23/2009 10:00,0.459
1/23/2009 11:00,0.441
1/23/2009 12:00,0.133
1/23/2009 13:00,0.023
1/23/2009 14:00,0
1/23/2009 15:00,0
1/23/2009 16:00,0
1/23/2009 17:00,0
1/23/2009 18:00,0
1/23/2009 19:00,0
1/23/2009 20:00,0
1/23/2009 21:00,0
1/23/2009 22:00,0
1/23/2009 23:00,0
1/24/2009 0:00,0
1/24/2009 1:00,0
1/24/2009 2:00,0
1/24/2009 3:00,0
1/24/2009 4:00,0
1/24/2009 5:00,0
1/24/2009 6:00,0
1/24/2009 7:00,0
1/24/2009 8:00,0.034
1/24/2009 9:00,0.085
1/24/2009 10:00,0.13
1/24/2009 11:00,0.148
